"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B1-H","B10-A","B10-H","B11-A","B11-H","B12-A","B12-H","B13-A","B13-H","B14-A","B14-H","B2-A","B2-H","B3-A","B3-H","B4-A","B4-H","B5-A","B5-H","B6-A","B6-H","B7-A","B7-H","B8-A","B8-H","B9-A","B9-H","R1-A","R1-H","R2-A","R2-H","R3-A","R3-H","R4-A","R4-H","R5-A","R5-H","R6-A","R6-H","R7-A","R7-H","R8-A","R8-H","V1-A","V1-H","V10-A","V10-H","V11-A","V11-H","V12-A","V12-H","V13-A","V13-H","V14-A","V14-H","V15-A","V15-H","V16-A","V16-H","V2-A","V2-H","V3-A","V3-H","V4-A","V4-H","V5-A","V5-H","V6-A","V6-H","V7-A","V7-H","V8-A","V8-H","V9-A","V9-H","YG1-A","YG1-H","YG10-A","YG10-H","YG2-A","YG2-H","YG3-A","YG3-H","YG4-A","YG4-H","YG5-A","YG5-H","YG6-A","YG6-H","YG7-A","YG7-H","YG8-A","YG8-H","YG9-A","YG9-H","Time"
1.85622e+06,1.94841e+06,669291,547498,609705,1.03977e+06,5042.06,6181,-324.225,146,324.087,280,407.859,290,-23.8563,217,-235.881,231,3497.04,3982,2943.63,2934,746.625,908,638.722,605,229.969,406,12.0312,208,-56.2719,277,460.109,289,623.33,263,-141.515,158,-181.251,324,24.6925,227,-21.0612,289,-107.9,425,-431.081,261,145.976,277,-72.8,471,2224.3,3291,170.55,602,296.45,407,142.375,454,154.525,324,172.7,319,48.75,337,334.375,430,386.45,618,596.225,997,2980,5033,10038.5,16142,12961,20991,5200.4,8079,688.695,1288.7,-304.413,241,-415.8,348,465.85,385,219.887,277,143.762,255,-848.312,101,-22.4,237,1140.04,401,-667.362,280,156.887,428,0.0325
1.83e+06,1.92422e+06,698790,540348,639297,1.12662e+06,31725.1,38011,-214.019,182,-105.153,293,211.888,475,34.7188,292,-25.1281,344,19701.6,23318,13890.2,16739,3178.18,3716,1821.6,2067,1219.04,1287,-19.9719,551,177.134,301,15.7094,211,518.75,372,31.8512,253,-613.578,165,-362.087,217,-771.796,241,-117.756,284,-985.832,375,964.564,468,354.1,343,10877.8,17846,2190.9,3672,1134.83,1334,679.45,970,456.975,753,276.925,378,-100.5,160,390.925,419,499.125,734,2937,4300,18245.3,29672,64209.6,104163,81753.9,132290,30347.1,49662,3249.5,5639.9,99.925,221,206.412,457,6.0375,400,58.1875,242,269.15,224,809.375,255,-814.362,221,799.4,325,-206.938,399,663.862,408,0.0574
1.30215e+06,1.38313e+06,690672,578487,731621,1.1538e+06,74842.4,84208,88.1031,278,-88.3781,245,382.147,445,393.559,401,-48.8469,220,46374.8,51873,33026.8,37304,7465.43,8329,4056.25,4282,1871.96,2182,502.116,842,566.878,490,445.5,414,-190.485,309,-578.302,114,-1491.41,97,-852.41,150,-142.864,436,-582.245,442,-585.15,287,572.389,266,317.05,428,22117.3,32848,4442.83,6449,1573.38,2185,1156.4,1738,566.375,900,520.1,625,322.175,398,308.4,386,797.4,1150,5535.5,8050,37384.1,55775,132772,196215,168753,248718,62737.4,92858,6585.23,10698.8,-396.375,197,-23.625,341,-408.012,149,516.775,251,390.688,293,119.525,181,114.625,285,-82.5125,274,-350.612,337,-886.638,196,0.0574
2.36917e+06,1.8569e+06,1.1207e+06,972865,845057,1.28626e+06,3172.85,2684,261.319,424,7.2875,226,115.809,417,162.628,299,10.8625,213,2073.09,1881,1783.55,1384,555.947,559,452.788,539,-46.4406,314,652.163,436,36.1281,208,40.5625,230,1156.6,367,69.5125,334,-530.059,172,-341.753,330,491.671,310,1130.88,411,503.706,330,266.43,323,-65.075,204,2150.4,2652,679.55,744,215.25,413,128.725,285,-125.525,213,167,358,15,313,553.875,427,643.475,603,423.675,688,2439.03,2708,10235.2,11920,13350.2,15693,5338.23,6076,621.285,902.3,-746.812,130,477.75,303,358.225,337,12.1625,261,-690.025,239,1155.35,365,437.5,316,1310.4,510,1285.64,491,91.7875,303,0.0756
2.2105e+06,1.87417e+06,1.10153e+06,875180,928975,1.58705e+06,18443.9,18925,-87.0719,204,-66.9625,260,167.062,326,-228.388,341,18.425,339,11515.1,12032,8021.17,8414,2099.14,2319,1057.17,1316,702.006,723,315.322,448,182.841,296,492.869,427,718.78,420,782.379,286,581.415,295,-45.4425,188,659.954,363,1041.96,421,895.155,538,-37.4538,239,188.675,571,6222.77,8921,1558.43,2005,610.25,764,269.475,617,361.275,364,188.7,362,452.9,492,210,711,405.925,696,2198.2,2717,10606.9,14876,35646,50938,45479.6,64615,17424.8,24667,2014.57,2676.1,1102.32,262,202.738,314,-1093.84,208,-91.7,215,-97.2125,269,356.038,262,705.688,267,718.287,480,-398.3,371,350,314,0.0856
2.06229e+06,1.91393e+06,1.16033e+06,975522,984740,1.62921e+06,321691,362477,720.294,801,272.972,517,153.897,406,294.766,359,-3.575,316,199095,224072,141390,159316,31691.1,35592,15988.6,18199,8924.85,9771,2745.12,3290,1835.8,1995,1346.71,1580,-41.915,359,190.174,260,449.86,288,842.969,349,1144.05,375,-116.096,344,402.861,356,-439.485,336,220.775,353,102844,158015,20761.8,31775,6998.65,10836,4261.85,6558,2593.38,3970,1216.6,2132,769.975,945,574,1317,3021.78,3911,23545.6,35802,168488,257849,613523,939110,779081,1.19332e+06,291730,447922,31453.3,48213.2,1220.28,364,217,236,467.775,233,742.263,344,-604.888,131,-291.025,236,390.337,310,774.112,364,907.987,403,-250.6,316,0.1583
1.78912e+06,1.68906e+06,982293,774051,843894,1.50465e+06,9776.9,9786,-161.838,183,471.694,406,207.728,388,-82.6719,275,-4.57188,417,6074.58,6250,4305.3,4468,1109.93,1245,410.85,693,636.453,684,493.625,492,-151.525,228,127.428,344,1306.42,444,628.206,289,-523.315,290,420.499,284,951.076,375,-1187.11,197,-474.552,238,252.527,452,-192.175,214,3430.45,4698,1049.38,1189,68.175,473,153.125,458,121.1,320,35.55,521,342.525,457,136.275,384,117.7,512,992.9,1303,5234.08,7492,19971.1,27087,25173.1,34354,9597.6,13204,1374.48,1968.4,-369.337,211,-455.262,203,477.05,288,-197.312,296,-73.325,254,401.012,474,210.7,217,1194.99,405,-337.75,229,-567,267,0.239
2.2924e+06,2.2701e+06,984039,743094,843394,1.52186e+06,229095,264053,216.803,585,637.347,534,-65.3469,394,-97.1438,250,253.206,290,142069,163129,100825,115927,22899.3,25909,11446.9,13280,6322.7,6891,2167.86,2369,1255,1419,910.147,1204,153.031,303,-360.531,170,172.225,223,1043.83,287,-781.964,250,390.307,445,-275.664,265,156.247,439,423.4,549,72462,114075,14825.3,23141,5091.23,7780,3382.82,5052,2030.85,3150,1085.8,1747,390.65,675,967.85,1270,2075.43,3309,18606.6,28722,127005,199466,431876,679169,545320,858578,204287,321905,22120.2,35116.2,1014.56,382,-411.512,318,386.137,318,915.425,323,-319.812,155,341.688,279,81.2,189,937.037,382,-251.825,261,-343.175,192,0.3944
1.3502e+06,1.34504e+06,732352,586266,667749,1.09162e+06,3143.63,3271,106.391,326,447.666,518,240.453,295,-64.0406,278,265.478,300,1828.68,2162,1871.13,1898,602.388,592,278.025,402,346.947,376,330.516,388,81.4,187,231.275,288,-391.449,352,-217.979,211,-604.344,224,-1.66,155,123.255,275,379.725,293,-495.406,225,-966.327,241,287.675,371,2303.73,3260,418.45,738,163.45,310,-2.925,369,109.2,379,231.325,344,133.7,376,290.125,387,220.75,475,734.325,692,2455.55,3815,12069.7,17293,15439.5,22322,6102.43,8502,759.745,1243.2,904.4,373,-347.375,325,-336.788,293,678.037,337,149.975,225,-477.225,184,188.125,240,784.438,430,-227.15,268,311.85,347,0.4091
1.64621e+06,1.76308e+06,785385,623295,707680,1.2271e+06,171709,207171,578.531,577,501.256,474,-184.766,359,20.1438,343,-80.85,261,106094,127574,75508.2,90606,16797.5,19921,8299.19,10217,4987.12,5607,1543.03,1919,683.788,949,833.663,846,-718.054,251,-335.527,213,492.397,282,359.286,223,240.7,387,-745.133,204,-167.66,342,218.186,265,438.65,415,54177.7,88041,10872.7,17676,3684.5,6229,2323.23,3692,1430.2,2324,1270.65,1604,286.25,547,716,951,1698.58,2185,13045.2,20726,90499.1,147094,323810,526796,410945,669001,153376,250472,16789,27306.3,-301.7,196,-749,203,312.462,341,136.675,289,170.012,179,168.35,256,987.35,301,721.087,292,-552.825,314,591.5,354,0.4129
1.33424e+06,1.32269e+06,475382,422619,527350,823258,7045.09,8713,113.609,272,403.425,459,-118.319,320,-328.178,200,-171.291,166,4495.32,5611,3162.02,3936,1031.63,1110,213.331,572,438.384,453,14.7469,295,0.4125,207,63.9031,238,-336.15,284,-13.28,261,-143.486,232,714.837,289,-289.462,250,-881.771,276,-161.746,264,-204.18,432,182.15,315,2569.9,3971,733.3,1065,-43.9,391,136.175,336,-19.275,194,80.7,346,52.975,434,-44.075,203,121.625,404,796.925,1349,4115.3,6725,12975.9,22140,16309,28022,6360.05,10641,614.268,1405.6,42.6125,280,402.062,384,19.8625,331,-203.962,246,166.337,239,486.762,233,-826.787,87,401.712,351,-504.7,337,-32.2,298,0.4231
1.45707e+06,1.54464e+06,905336,660853,801188,1.47609e+06,160845,185129,403.219,488,-65.9656,254,123.097,379,403.769,374,326.7,308,99807.5,114300,70861.4,81471,16093.2,18474,8139.83,9314,4277.8,5028,1439.83,1738,826.1,988,359.562,764,63.08,354,95.5537,183,823.152,263,422.574,206,-1335.99,160,430.77,284,-592.931,233,528.917,388,46.6,253,56330.6,88253,11288,17713,4011.23,6284,2584.2,3947,1530.12,2574,759.45,1593,270.825,452,653.15,741,1758.83,2216,13492,20617,93738.5,146638,334504,523668,424878,664925,159309,249538,17160.9,27123.6,920.587,353,478.625,340,446.95,319,153.912,310,821.537,348,-968.888,162,-550.287,206,32.2,440,-73.2375,399,480.375,370,0.4838
1.76616e+06,1.78542e+06,1.07147e+06,879246,899275,1.49971e+06,42921.4,43490,88.1031,325,-270.909,386,276.272,324,276.513,313,77.5844,297,27212.8,27304,19423.9,19259,4299.32,4476,2552.28,2485,1614.39,1387,58.1625,501,379.397,351,127.016,314,418.112,320,1178.91,392,270.372,334,347.977,185,-504.225,261,653.625,400,365.926,462,402.55,346,77.45,294,20451.3,27646,4063.48,5532,1700.55,2107,1312.85,1368,596.375,917,139.5,449,-8.925,369,484.8,559,781.925,952,3341.62,4823,26393.3,35933,117453,160982,151164,207222,57106.3,78399,6244.33,8782.2,1072.57,424,154.35,430,648.025,434,564.55,297,772.888,298,-247.012,326,-628.337,195,-127.225,307,-284.462,463,-59.2375,223,0.4999
2.01034e+06,2.09392e+06,810331,619642,698815,1.21581e+06,3274.01,3600,134.819,268,-531.403,231,-258.191,321,256.953,369,176.963,250,2297.73,2422,1668.6,1968,855.319,754,346.363,573,239.766,340,432.919,527,243.513,333,2.0625,167,455.255,346,-262.073,201,855.419,315,-1389.73,148,188.41,290,-575.19,255,-411.161,224,670.121,342,-9.325,227,1476.68,2171,280.65,743,542.3,636,23.175,262,111.025,383,123.625,287,-3.975,281,349.525,482,575.8,559,547.2,840,2356.95,3376,6750.12,10606,8660.28,13696,3460.48,5459,433.003,1134.7,-59.5,274,845.075,385,262.85,184,269.85,246,322.525,211,514.85,256,1444.36,359,929.688,383,-31.9375,327,229.25,355,0.5127
2.6687e+06,2.23133e+06,1.16396e+06,956127,925465,1.52054e+06,24816.9,24131,42.4531,314,-207.522,215,-391.875,156,82.775,250,233.028,354,15463.8,15068,11104.4,10860,2885.44,2737,1391.4,1398,827.922,884,317.659,418,140.8,369,401.913,431,266.949,436,-397.777,203,817.031,233,-583.179,217,-867.142,150,-1245.21,189,340.922,269,510.139,339,168.25,329,10805.5,14101,2148.6,2791,872.35,1046,543.3,856,615.85,613,117.775,372,69.9,342,240.825,436,980.35,996,2590.15,3090,15492,20001,59863.9,79576,76878.1,102125,29268.6,38538,3314.41,4587.1,-764.138,215,1372.7,339,356.65,268,81.55,257,995.05,298,571.725,317,-326.725,227,492.45,394,-340.112,348,583.013,472,0.5132
