"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
-77.6688,35.6469,352.059,-324.488,-6.53438,-130.9,320.609,329.375,195.713,105.666,75.65,381.756,-375.488,302.919,298.489,-169.32,100.119,776.984,534.105,-915.49,-238.21,-338.432,641.88,1111.44,490.04,289.36,-310.76,-40.24,246.6,160.52,1893.8,2291.32,1856.32,1997,1484.24,1883.64,1026.08,540.84,308.438,510.913,856.1,458.675,480.637,28.2625,138.425,275.8,207.725,18.6375
387.334,28.1562,239.434,194.119,-42.3938,114.644,98.0156,672.669,279.544,503.891,41.2781,-230.244,442.903,-268.334,-783.935,329.406,-472.685,1043.31,520.721,-82.4812,851.58,266.43,1278.64,806.64,161.68,323.32,187.72,-213.48,88,2.72,3200.08,3929.36,3229.36,3159.6,1933.24,2096.04,1259.72,904.44,11.55,-490,314.475,-68.3375,712.862,401.012,4.55,143.587,-425.425,-162.662
454.219,649.878,467.447,213.562,254.734,-140.197,403.697,569.447,132.175,534.597,775.147,59.925,507.078,407.363,184.571,277.22,714.422,-100.741,393.316,618.143,-841.931,231.777,1963.28,1300.24,196.16,860.16,128.6,-30.36,386.56,264.84,3038,3781.48,2880.16,2770,2377.16,2501.96,1299.44,1175.72,-814.888,-153.475,511.612,368.725,1051.05,308.7,254.975,681.45,602.263,861.7
620.713,292.613,177.597,121.125,158.525,-474.353,589.741,721.225,277.525,413.578,203.575,237.841,358.7,-126.65,1064.37,-406.077,-799.912,-780.615,151.786,187.58,58.8262,181.147,1111.2,830.68,513.64,471.36,195.88,210.48,169.12,55.6,1727.72,2378.04,1951.88,1779.28,1537.76,1901.88,1077.72,687.6,204.75,297.675,707.7,27.65,-23.45,-64.6625,379.312,835.8,799.138,770.612
297.075,-92.1719,230.881,-384.997,-30.0688,109.278,498.312,393.497,485.138,-43.2969,-19.3375,283.581,-11.05,82.1313,292.679,-346.836,720.855,-317.267,-66.4,8.19625,-415.519,-507.441,906.44,924,383.24,195.24,391.52,-63.36,153.6,-44.48,2482.96,3102.84,2340.96,2167.8,1601.72,1824.76,800.64,808.36,393.4,-131.6,707.175,-244.825,765.188,-72.8,249.725,205.8,646.888,568.312
320.503,162.775,3.66563,-107.366,-283.688,201.184,356.681,802.028,242.622,669.163,344.622,-16.6281,222.913,-41.9156,573.011,414.066,32.2663,966.742,1217.71,-415.934,236.861,360.22,1187.2,251,-29.24,265.84,184.64,197.92,-398.8,3.36,2001.36,2144.56,1645.12,2080.28,1986.04,2275.16,1199.32,807.04,409.675,276.413,274.837,332.938,149.1,-188.912,-464.8,-223.125,213.938,605.15
208.569,44.3063,136.691,589.9,-177.066,85.3719,-134.619,349.722,177.278,-42.7125,209.047,57.1625,341.062,493.053,356.277,2.49,-343.413,-375.056,-76.9825,114.851,469.158,93.6862,682.48,438.96,288.48,3.2,334.8,214.64,-113.12,-19.8,1265.44,1552.32,1337.6,1095.56,1374.52,1558.04,767.64,568.04,-515.2,0.35,-111.562,182,677.6,-43.8375,-128.8,375.55,193.725,1065.22
82.5563,308.019,-151.566,-163.041,340.053,249.634,-137.541,407.044,20.6125,278.003,-134.566,332.775,339.841,-17.2656,-176.582,674.271,190.589,-21.3725,27.4937,671.263,-430.044,410.954,1367.28,637.4,434.12,445.68,259.84,133.08,312.12,5.24,2366.16,2987.52,2445.64,1918,1662.32,1601.08,1314.28,703.96,-213.675,609,976.5,561.05,284.637,-118.213,-197.137,609.787,-550.638,5.3375
741.572,-35.8063,281.031,272.691,26.8281,394.134,65.7156,662.363,-121.869,524.875,135.044,23.8,406.353,-240.603,-304.921,-277.946,299.941,494.576,-291.33,298.281,-318.098,542.612,921.24,950.68,34.72,561.16,295.96,562.96,-177.52,186,2272.52,2506.92,1677.08,2217.88,1426.68,1808.08,879.36,638.48,-1007.04,-46.725,-133.613,141.312,-205.625,-126.787,-749.962,-90.65,302.225,148.4
-120.488,139.613,139.188,-459.159,247.138,121.816,56.3125,44.0938,132.175,641.112,-320.822,293.462,-47.2281,117.619,572.907,635.469,394.665,-717.742,93.375,470.921,-1360.68,761.94,938.8,-0.56,109,12.24,-70.68,-21.04,8.88,-248.68,1274.92,2013.96,1859.32,1568.52,1097.08,1142.44,598.8,186.8,-33.5125,-97.7375,435.137,-903.962,610.75,-126.7,164.238,211.488,2.45,-187.425
