"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
230.191,278.056,167.397,65.3438,19.125,238.213,54.4,440.513,471.963,519.297,48.875,-173.825,41.9156,292.028,688.381,942.05,836.017,-305.855,396.844,-86.8387,-567.824,-280.644,195.76,393.8,366.16,-223.52,41.04,175.48,296.48,-110.32,2068.28,3756.52,2956.56,2106.28,1665.28,1859.12,1042.96,759.36,519.4,-562.975,826.087,197.225,263.2,445.987,383.862,5.1625,597.013,868.525
688.447,-182.856,-193.216,-95.3594,-275.825,217.866,616.941,744.175,897.122,203.628,135.788,115.388,0.371875,17.4781,216.734,549.149,513.459,-305.44,535.869,1287.43,-29.5687,182.911,-68.96,683.44,76.76,-59.52,522.16,22.88,61.76,-302.76,732.84,2325.92,1682.8,1621.56,856.52,1660.48,914.04,368.08,-61.95,-202.738,-146.037,32.025,-288.312,571.112,143.412,250.775,228.113,-403.637
-187.797,326.878,333.784,-8.65938,288.575,-493.319,353.972,160.544,-192.206,49.2469,-79.6875,-106.463,-121.869,364.544,138.091,948.69,-507.026,423.507,-457.641,66.4,-407.53,125.745,107.2,335.76,556.56,-9.88,70.24,148.2,-401.64,-230.44,1463.88,2057.84,1875.68,1156.92,1236.44,1149.28,976.76,513.8,-139.125,994.612,-551.6,28.875,155.488,-166.337,342.825,-611.888,-969.763,306.95
692.059,61.8906,57.1625,170.319,-117.566,350.306,14.7156,506.069,326.4,402.103,-78.3063,181.209,262.278,-211.863,259.167,452.35,770.344,-373.189,-490.219,-210.924,314.051,392.901,504.36,890.2,156.32,-48.12,-58.2,324.52,-37.28,37.56,1718.24,2976.6,2730.24,2063.48,1458.04,1588.92,858.84,564.6,155.05,433.562,-100.975,627.9,177.537,105.787,99.925,244.475,537.862,-383.425
251.388,-252.875,-45.475,4.0375,309.294,510.903,573.591,234.706,-117.831,294.047,617.153,22.7375,-180.731,-123.197,-85.075,984.069,394.769,539.396,481.296,868.491,534.935,470.818,170.24,371.08,489.48,-204.52,207.16,100.12,209.88,496.88,737.08,2132.12,1826.28,1578.68,1333.88,1204.56,660.88,634.84,902.65,-233.012,-974.575,197.837,236.075,848.4,-646.8,326.112,344.312,-347.112
861.688,-52.5406,196.616,34.5844,26.6688,343.028,168.141,385.316,692.272,826.997,915.184,316.094,-60.35,704.438,-689.938,685.995,-180.317,744.821,1000.57,-19.6087,98.77,-127.094,236.8,645.04,206.56,181,363.12,150.8,255.48,118.6,1375.72,2688.08,2219.56,2023.76,1295.72,1603.44,1549,503.64,604.45,265.913,-428.925,186.287,797.037,-11.025,114.275,100.537,-61.1625,-68.425
491.725,324.594,28.05,-335.591,-5.25938,-348.713,456.131,612.531,713.947,804.312,442.478,237.363,299.572,638.881,634.639,288.01,386.987,785.595,401.927,-176.479,-25.8337,396.117,619.2,914.12,78.68,161.28,294.84,-123.8,65.76,623.16,3049.32,5985.88,4754.56,3728.04,2457.04,2452,1421.2,916.16,-131.337,-46.4625,782.6,-271.862,90.65,56.0875,809.375,-499.012,84.7875,-830.812
-155.125,-94.775,525.459,398.756,158.419,-161.394,-10.0938,69.9656,217.175,12.0594,-239.381,341.381,99.6094,-354.556,-218.912,-84.66,22.9287,-98.8737,941.324,-330.859,-60.0712,26.2487,318.76,897.72,373.88,136.08,-94.56,-304.92,386.76,-230.8,2316.36,5335.48,4217.2,3073.24,2056.96,2016.68,793.44,718.76,25.9875,446.95,-414.837,-103.075,329.087,760.112,-151.55,-244.825,-271.163,-1016.75
302.812,-193.641,229.606,-282.359,166.653,-137.328,161.128,721.65,199.431,64.8656,198.634,201.238,602.066,560.894,36.105,223.996,412.51,363.54,681.326,-213.31,-644.08,229.91,284,522.72,-29.8,287.76,227.72,115.24,-160.84,25.04,1698.4,3210.08,2420.68,2387.4,1231.84,1398.68,926.28,781.96,177.275,-585.112,-8.3125,10.7625,-610.138,-7.7,-176.4,-462.35,-684.6,52.7625
493.213,303.609,-219.459,-217.441,30.7063,-137.647,136.903,51.9563,179.775,456.928,272.266,416.075,291.497,-51.425,-297.97,-407.426,-212.376,-7.2625,172.536,-868.388,1150.9,238.417,252.56,348.36,105.72,-47.2,368.2,-119.88,1,377.48,1846.28,3340.44,2726.16,1845.6,1126.36,1594.8,698.68,107.8,-70.2625,508.288,1460.55,4.2875,-177.8,366.975,-508.9,1222.2,-56.6125,13.9125
428.241,320.291,74.8531,-143.969,173.719,-377.719,287.141,534.597,406.672,283.209,33.3625,152.575,21.3031,453.953,178.45,1045.07,-78.7462,-97.0062,-988.426,-87.15,600.92,-395.08,116.28,718.48,16.36,-20.44,460.24,41.64,50.04,135.56,1968.92,4514.64,3173.32,2358.88,1670.08,2089.96,1142.48,964.08,-38.5875,742.438,572.95,463.137,86.8875,853.737,-139.212,791.875,-53.025,363.038
95.2531,-224.772,-39.6313,297.128,-324.966,60.4031,207.081,1100.7,-281.244,108.534,145.244,222.594,-32.4594,412.994,-227.939,749.698,654.144,976.495,-269.646,76.4637,-434.816,-210.301,255.24,525.16,-178.8,271.88,97.24,359.12,344.76,-39.28,891.72,2086.52,1411.28,991.16,831.16,670.64,791.08,351.28,73.85,95.025,76.3875,235.462,384.212,-495.688,155.4,87.0625,-551.862,-187.688
