"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
1349.8,252.291,106.144,-96.7938,75.5969,117.938,866.097,687.066,261.906,519.562,457.513,55.3031,326.559,-146.253,-479.429,228.769,-678.732,524.145,-463.244,62.25,302.95,-570.417,246.04,966.2,238,-35.6,43.04,125.64,-62.2,167.16,655.28,570.72,426.32,7240.72,7155.8,6275.04,2337.44,967.8,88.025,171.675,-60.55,441.7,-47.775,-164.412,121.625,-875.175,-79.7125,695.975
1760.56,178.128,41.2781,-118.841,325.656,109.066,1348.74,754.216,588.731,221.903,212.819,-457.034,-139.241,93.2344,150.956,-385.12,462.102,-74.9075,868.906,-354.099,-154.587,196.295,-154.84,1143.48,352.2,-375.72,342.72,-78.08,584.4,225,243.48,361.8,-85.52,9047.16,8443.72,7276.12,2834.12,1369.44,6.125,84.35,105.35,728.962,228.375,794.062,139.912,9.1875,-124.6,211.225
1344.12,-146.094,89.0906,115.441,-106.622,-121.338,908.331,1139.48,459.638,466.756,199.272,54.4531,-17.7969,116.716,253.565,-114.125,-589.508,-503.81,297.14,-115.681,-124.292,296.829,-108.16,1437.76,166.72,275.56,-277.04,-65.04,-30.16,41.32,334.28,366.88,148.44,8182.72,7631.36,6448.92,2161.88,1065.48,349.562,-636.125,686.962,-83.3875,784.962,-560.612,208.863,-145.25,392.525,108.062
1322.92,94.7219,154.009,24.3313,203.363,-430.525,845.059,686.322,172.55,662.15,374.531,521.156,184.663,103.806,7.47,1015.51,-163.51,-174.196,-611.71,37.6613,-562.429,-55.5062,20.08,1310.16,625.64,88.8,589.6,326.16,-229.08,-50.24,359.84,380.56,560.6,6333.16,5703.52,5023.24,1927.72,1061.12,406.525,627.112,306.512,256.462,-464.012,-1143.54,-136.5,533.225,-119.088,-72.45
1633.22,187.584,-264.988,-207.4,-12.9625,119.266,1167.42,982.812,480.197,-4.56875,-80.9625,481.844,388.184,202.194,-625.301,227.005,510.45,252.839,-1068.31,376.612,-1.97125,613.889,130.68,1365.32,461.16,274.72,428.56,107.2,-130.28,-246.96,622.88,678.56,324.12,10201.6,9006.76,8247.72,2650.76,1577.28,1175.82,230.562,-337.4,-51.5375,-924,-22.925,80.675,138.162,615.825,214.988
1301.46,22.6844,330.756,98.8656,-11.3156,436.369,636.703,1003.9,885.913,524.875,472.334,-514.356,-148.113,219.938,188.099,330.755,75.3225,-454.632,-554.336,116.615,668.254,-254.291,153.16,821.88,485.8,265.6,81.32,-25,219.24,67.72,234.08,950.36,715.16,7493.16,6476.52,5987.8,2545.6,1116.96,112.875,485.188,123.463,933.8,285.95,-457.712,1153.25,842.8,-90.3,406.875
1398.04,2.7625,-213.403,-204.691,-47.8656,337.663,1461.68,1124.55,837.144,541.397,334.688,439.078,54.825,-262.756,-82.7925,424.96,744.406,39.1138,259.064,731.126,332.622,913.622,61.76,1318.16,692.44,323.8,-53.36,163.8,379.84,-211.16,324.64,967.04,549.92,8370.12,7865.08,7370.48,2738.44,1807.52,316.312,405.825,443.188,-105.438,-165.287,178.675,360.587,-53.025,-57.4,207.725
2531.73,-105.931,-277.578,-57.5344,272.425,241.719,1311.71,1020.69,635.109,630.328,-13.8125,161.659,118.894,149.653,106.759,220.365,879.696,-768.995,97.4212,819.314,631.63,1396.89,297.6,1948.52,310.24,201.52,376.96,8.32,81.28,119.16,47.44,296.76,131.12,14668.1,13313.3,11740.9,3914.76,2034.56,446.95,23.625,234.15,-336.962,-266.262,-337.75,298.462,-6.5625,272.125,-891.1
1190.37,102.425,465.588,326.453,150.131,212.075,574.653,1606.18,656.997,383.775,446.197,627.194,152.522,537.147,-286.246,516.156,184.986,78.5387,471.647,-218.394,112.361,964.667,182.88,1186.68,766.08,318.28,-132.4,590.76,420.32,-52.08,532.12,932.84,865.2,7722.68,7431.04,6587.92,2247.12,1336.24,171.325,683.638,-86.625,241.062,431.812,810.075,477.925,625.188,892.5,408.275
1272.08,76.6063,-93.7125,-182.431,-60.8813,232.688,1257.42,1479.48,780.406,213.191,318.697,366.616,394.453,486.891,317.06,622.604,653.21,327.746,-690.145,-376.301,633.082,502.98,55.8,1457.36,490.36,674.84,398.12,473.8,202.52,-5.24,338.32,606.84,868.56,11194.8,10354.7,9400.16,3252.04,1741.16,-53.1125,709.888,1020.08,224.7,432.95,1194.55,81.375,463.837,-778.487,317.712
1504.66,88.0281,-30.5469,-216.697,372.3,-640.209,862.591,1192.5,481.153,465.8,-77.0844,165.909,438.866,417.722,-117.652,784.246,987.077,662.859,187.891,701.35,1422.83,411.265,224.92,865.56,345.2,502.88,-196.36,227.96,251.48,238.68,515.28,1257.88,735.92,5848.76,5749.44,5626.8,2136.64,1261.44,195.825,77.7,-249.637,-404.075,-58.1,-15.6625,-123.812,463.225,50.225,448.962
2623.74,94.6156,74.4813,51.3719,-382.553,-158.206,1119.77,1472.09,694.928,593.884,30.6531,176.428,298.138,83.9375,-406.285,221.195,606.626,-51.6675,-1935.15,-334.283,-483.267,225.241,-19.8,1648.8,203.52,194.64,318.24,-31.56,240.72,380.28,485.32,387.92,631.16,15893.6,14153.8,12697.6,3755.08,2376.96,7.2625,144.812,769.037,-147.787,-156.887,1019.99,473.2,-367.938,156.8,-1380.84
1295.45,226.525,360.188,517.916,351.316,-127.5,359.284,1221.34,583.95,763.406,925.756,-10.0938,88.6656,327.728,256.159,-69.305,580.481,-1220.52,-866.52,-649.268,-268.297,-472.166,236.72,1349.84,228.8,323.32,297.4,243.6,-37.08,-11.12,258.12,728.04,545.36,6816.32,6012.36,5696.72,1769.8,1089.16,486.413,-512.837,575.05,-442.663,143.5,-460.25,-1035.21,-55.825,-289.362,668.675
2531.67,738.331,-351.847,156.613,42.8188,26.2438,1199.14,1410.73,760.484,1105.05,491.406,255.903,168.619,-240.231,384.705,106.655,-762.355,-300.564,-333.764,982.201,-246.51,269.335,582.16,1716.72,427.24,333.52,357.44,233.6,193.8,-265.8,596.92,599.24,575.08,12188.3,11107,9965.84,3297.44,2423.56,412.913,429.625,182.525,-74.2875,375.025,520.975,-19.6875,-163.363,294.525,442.137
3526.33,296.384,331.553,226.525,-306.106,46.2719,1851.83,1180.76,258.028,775.519,-16.6281,205.541,453.209,-461.922,-588.263,-258.234,131.97,122.01,688.485,145.042,-186.335,-799.912,149,2080.64,460.84,295.28,-167.04,159.16,11.76,107.72,242.92,423.48,552.36,21820.6,20441.1,16643,4850.92,2965.44,664.125,-163.537,-389.462,36.75,-87.85,-532,452.112,-270.9,96.075,-17.9375
4003.71,-23.1625,262.65,558.981,130.262,-320.131,1966.16,1765.03,536.509,714.053,522.538,149.228,-0.425,261.003,-63.3913,644.08,278.984,-19.6087,446.332,-373.915,359.182,-324.219,262.8,2358.88,354.52,601.84,27.56,226.48,389,-71.92,250.4,524.36,854.52,21677.6,19772.8,17141.5,5319.12,2851.44,758.975,599.2,-604.888,72.975,-526.138,176.4,476.438,-463.312,1125.25,561.05
3887.1,382.659,372.991,-257.497,25.1281,237.15,2380.9,1642.62,318.113,422.875,282.731,314.819,230.722,298.616,-6.95125,-347.977,258.856,594.799,1127.24,-210.197,20.335,1089.06,191.72,2047.88,739.68,205.4,278.32,-81.68,242.92,105.76,120.4,894.08,736.08,21269.3,19302.2,16933,5090.52,3117.16,-424.025,-355.337,385.788,181.912,-81.725,51.45,89.95,-111.912,16.3625,402.5
2990.19,-235.928,81.7063,111.988,-129.306,-199.75,1856.4,1841.1,202.513,497.622,120.966,113.316,180.944,-49.6188,588.055,-448.926,209.16,199.2,331.17,60.3825,-799.186,-444.257,446,1739.08,760.12,140.96,492.84,-113.12,239.08,366.48,263.56,386.88,582.72,17663.3,15730,13921.3,4454.64,2720.16,-97.7375,-258.562,-24.5,58.275,273.087,-302.75,299.6,679.612,-41.65,625.888
3220.23,-194.384,44.8375,73.95,258.294,202.353,2049.3,1517.99,546.497,815.575,378.675,95.3063,208.356,34.0531,-111.012,845.77,219.846,-90.5737,364.785,125.434,1349.48,-718.78,8.56,2116.48,613.32,204.16,286.72,211.48,-130.08,203.12,484.64,600.52,621.24,19066,17770.4,15372,4900.04,2724.8,-69.7375,463.137,448.262,-144.55,865.812,235.988,488.688,296.012,-224.35,369.6
2437.75,164.263,179.934,-197.041,131.113,-66.4594,1670.68,1136.4,1007.83,141.312,283.688,194.066,301.697,209.153,-264.874,585.046,2.59375,-83.3112,-321.729,-20.335,-254.084,502.565,188.88,1633.2,637.72,-151.64,37.36,294.4,223.64,-63.16,502.28,423.2,674.64,16360.8,14806.7,12871.8,4009.68,1960.52,228.637,-106.225,339.762,1034.6,38.15,-266.175,424.375,64.6625,-135.625,170.537
1318.46,255.266,-62.9531,41.2781,406.353,-43.7219,817.116,563.019,376.763,326.453,321.672,486.359,626.769,257.337,-415.934,318.824,-275.041,163.51,676.035,-586.81,-679.666,47.5175,327.72,746.12,405.2,324.16,110.12,132.8,306.64,56.96,370.6,558.28,612.6,5826.04,5289.44,4738.12,1877.24,1245.96,393.312,-940.888,167.825,-120.575,157.412,577.85,60.2,504,298.9,-260.837
3664.3,106.941,424.256,-59.5,-324.222,504.581,1959.52,2170.95,161.713,186.363,454.006,292.028,423.141,78.2531,472.27,296.621,359.079,-123.566,136.327,83.415,536.18,172.536,330.96,2496.04,289.76,-205.96,54.76,239.8,81.4,396.68,293,725.6,508.12,20907.3,19640.7,16470.1,5405.16,3166.8,1035.39,10.675,710.938,292.075,277.288,1025.06,422.1,818.3,308.087,-737.45
2444.97,-213.031,21.7812,635.056,-465.481,-214.306,1748.88,1393.42,505.963,550.216,122.613,-47.8656,-10.6781,441.203,356.589,613.474,441.456,45.65,254.706,672.922,846.289,468.431,229.2,1589.56,274.08,-16.08,492.84,-33.68,267.76,-174.64,74.04,608.04,493.88,16243.6,14645,12904.6,4195.64,2291.92,195.212,-271.163,-357.438,1113.88,478.538,505.575,47.6875,-602.35,85.8375,-297.675
2003.88,482.428,38.675,-39.6313,17.3188,190.4,1010.44,319.122,767.444,443.381,143.384,319.972,115.919,-264.456,369.142,452.039,176.894,377.65,791.198,208.641,-716.809,263.006,171.72,947.36,528.08,519.68,-124.12,111.52,-249.84,-2.68,45.6,689.76,691.52,10028.6,9017.12,7987,2611.92,1527.24,-471.362,221.988,206.325,-149.012,-331.538,-39.9875,258.825,642.513,433.475,-336.087
3332.69,235.131,333.147,262.969,-160.809,623.741,1759.98,1444.58,-78.2531,633.516,218.291,-232.847,-55.3563,293.622,104.061,1312.44,-99.185,276.39,-93.2712,-146.08,-706.641,311.25,23.36,2014.24,330.2,625.56,315.72,380.88,223.56,634.32,342.04,451.24,584.12,18799.4,17060.9,14759.8,4633.08,2734.4,-279.3,1039.94,689.763,-87.675,10.7625,-248.5,219.887,901.6,-17.4125,-152.162
1789.68,286.875,500.331,-227.534,-126.172,30.0156,582.144,912.103,511.488,400.191,692.75,-54.1344,160.172,360.028,-32.5775,97.11,14.8362,155.729,77.19,-167.452,0.10375,-272.862,-83.24,1323.4,239.2,330.36,284,23.52,66.68,-255.68,546.36,399.88,599.76,7345.56,6937,6340.68,2739.2,1380.92,221.812,146.475,644.263,103.688,277.375,-34.825,-195.562,677.862,126.787,-222.512
1800.46,-246.234,-77.2969,393.178,141.844,-358.541,1309.74,1051.18,119.797,240.975,559.406,354.663,88.5063,58.7031,-130.932,380.762,-696.681,419.565,459.924,235.824,304.714,-173.262,183.92,1294.76,365.72,238.88,505.88,340.44,142.2,-28.08,357.2,517.68,454.64,10700.5,9713.8,8400.44,2732.84,1407.44,161,-96.6,78.8375,-315.525,-261.362,-62.3,1012.81,752.587,10.7625,-167.562
2096.74,409.169,428.613,369.378,209.259,-304.406,1385.39,1252.21,194.969,533.109,391.319,314.5,90.1531,183.812,266.43,-218.394,461.688,664.415,692.842,368.727,221.402,68.475,354.72,1267.36,454.4,48.92,769.8,254.88,81.08,272.4,542.88,240.08,800.08,11814.3,11107.3,9563.04,3121.64,1845.44,-286.65,-106.137,481.6,575.837,98.6125,-175.962,481.425,226.887,-48.65,-137.812
1815.07,201.609,-120.062,-155.497,524.822,195.128,814.406,647.7,671.341,54.9313,449.703,375.913,-475.734,510.691,753.432,99.4962,259.894,135.809,-167.141,687.759,-83.5187,-976.391,315.12,987.2,460.76,293.08,-133.36,-59.68,-69.68,466.68,441.32,403.36,946.84,9643.64,8590.68,7856.52,2892.2,1784.44,-603.575,244.475,54.1625,-167.212,304.938,624.138,-347.637,657.912,-669.9,126
3176.98,-265.147,-232.156,-301.378,-162.456,613.434,1953.46,1351.02,734.613,474.406,577.256,17.1594,185.672,78.5719,776.154,320.38,467.497,-435.646,141.204,-14.3175,-169.527,-18.9862,277.2,2354.96,721.72,551.2,242.76,208.08,368.64,-48.8,546.76,555,774.4,19527,17317.4,14946.6,5031.48,2722.04,847.263,-373.625,873.775,800.8,126.525,864.15,-406.262,-600.337,503.038,-179.55
3231.75,-3.93125,310.516,109.597,455.812,258.772,2160.7,1421.09,528.913,356.15,287.672,151.831,-391.213,201.663,674.064,344.139,236.446,-24.1737,-353.891,-0.6225,-801.261,-191.938,367.4,1886.68,516.64,220.4,61.36,230.28,366.08,-18.72,627.24,614.56,760,19112.2,17646.1,14921.2,4791.84,2864,354.375,-47.3375,409.15,314.038,90.3,-69.5625,-714.787,49.175,-264.688,207.988
944.191,-45.7406,30.9719,89.1438,253.194,64.2281,888.197,345.047,411.559,643.609,42.1813,614.391,258.4,206.922,305.129,146.599,571.04,-201.897,478.91,205.529,69.305,77.19,-35.64,1184.08,52.48,297.92,355.92,315.48,288.04,238.64,613.84,705.24,754.72,6587.56,6563.04,5988.6,2278.48,1796.24,-274.05,551.162,920.062,459.025,-67.9,466.025,-190.4,762.388,-18.4625,-18.4625
2936.48,461.072,541.025,36.6031,-49.6719,-183.866,1602.14,1692.08,744.388,630.859,118.947,-120.328,-189.975,72.3563,52.8088,845.251,-412.717,-175.545,671.159,26.2487,438.966,304.714,161.76,1922.44,738.08,192.04,158.32,-105.36,130.36,119.92,625.44,796.28,584.28,17070,15255.4,13129.8,3987.92,2480.6,396.375,282.188,487.812,-843.325,-64.75,84.6125,-258.737,591.412,553.612,324.8
1590.35,-52.0094,28.5281,38.5156,518.713,-46.1125,914.175,401.094,360.188,-48.2375,498.419,56.4719,212.288,86.3813,-265.704,841.931,-149.4,-14.8362,260.931,443.739,215.904,227.628,22.32,1247.12,291.44,-32.4,339,311.2,242.28,242.96,606.92,534.8,565.52,8909.48,8151.76,6913.4,2655.08,1580.16,40.8625,-172.637,-613.2,289.8,-470.225,889.263,206.238,-64.6625,-65.45,204.75
2393.02,-16.15,101.522,-143.225,114.963,180.2,1321.86,1417.75,633.516,548.463,585.916,652.853,-108.641,291.497,-32.1625,903.247,-463.036,-6.95125,715.253,-360.635,104.269,740.568,194.88,1441.24,609.16,70.32,-9.36,102.48,364.84,-99.6,276.44,666.8,686.96,13327.2,12310.5,10695.6,3564.92,2121.72,373.8,-100.537,239.4,897.487,-84.0875,110.162,588.612,-598.412,658.962,-128.625
1325.31,-202.991,60.0844,259.409,48.3438,242.994,1279.52,883.203,526.309,314.872,257.656,-270.034,147.9,282.837,270.788,301.186,168.905,-219.016,102.505,42.2262,-420.499,-260.309,84.16,1414.56,415,-0.2,90.68,-61.56,222.84,208.72,216.16,876,1021.84,8423.76,7592.2,6857.8,2493.52,1702.92,149.887,588.087,-589.4,-115.675,186.55,-108.85,198.45,586.775,-226.1,27.0375
1721.25,14.2906,496.347,172.125,-29.4844,-407.841,1059.37,711.45,272,515.897,-170.425,433.288,-231.838,74.6406,-63.2875,260.413,637.336,-985.832,-538.151,-458.679,1013.74,-342.271,118.6,1261.72,278.16,412.12,-60.08,267.92,243.72,-59.4,450.32,415.88,195.32,8559.84,7768.32,7422.56,2833.72,1413.84,210.875,359.8,-996.975,114.713,12.075,123.987,317.625,-234.15,1032.06,-144.462
835.178,-207.666,214.306,215.634,-377.825,-2.3375,624.431,1865.38,537.253,814.884,498.366,419.953,512.869,1085.66,1194.68,204.802,1262.33,-408.36,335.527,597.911,-229.599,373.5,124.6,1452.24,897.12,351.88,549.36,219.2,536.56,328.76,849.72,1099.84,750.24,7105.16,6949.84,6687.8,2929.16,1623.96,848.575,80.0625,13.5625,-464.625,322,504.438,-32.025,198.012,381.413,-205.275
2511.43,90.3656,-569.288,-119.797,295.322,411.294,1832.87,1171.72,435.094,597.922,-28.5813,149.122,324.062,630.381,1205.68,1121.02,18.8825,-526.427,-294.65,474.241,-479.947,-353.58,631.24,2068.48,451.68,319.16,-182.12,-16.84,149.24,118.28,374.2,667.28,422.2,14639.6,13951.9,11954.3,4085.52,2144.72,390.688,-687.312,-161,-398.3,-651.612,639.537,-219.975,-404.862,377.3,1585.5
1453.66,204.053,542.672,39.2062,359.338,85.9031,1085.18,949.078,655.988,744.547,576.247,286.078,231.306,-10.1469,-533.794,-247.548,-23.5513,457.641,-271.825,-332.207,382.734,1040.92,327.84,1368.12,349.72,-329.88,510.92,94.68,450.28,188.92,501.6,390.4,450.64,10233.4,9119.12,8345.6,3062,1466.92,-388.85,-54.775,500.938,11.8125,205.1,563.062,450.45,445.462,-399.525,457.887
2409.86,-111.775,-181.688,215.156,134.725,-27.5719,1527.18,1038.75,875.819,519.031,611.947,571.784,481.312,693.388,380.14,-1118.74,50.9412,35.1712,852.099,152.72,144.212,1.0375,167.12,1612.44,554.48,596.6,380.24,184.36,298.2,-160.92,772.64,947.76,1014.68,12317.5,11432.6,10474.3,3630.88,2055.32,435.663,199.587,1021.12,1142.49,711.987,-79.625,671.562,466.637,161.525,441.875
