"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
-159.003,219.247,185.247,277.844,-14.5563,43.8813,155.975,-147.156,577.788,289.797,-188.275,107.312,200.653,283.209,-47.9325,281.474,106.655,-114.125,293.924,492.397,-264.874,908.124,597.08,823.68,576.36,124.6,48.6,-62.2,145.96,-76.76,134.52,704.92,113.36,752.68,3599.32,4886.8,2060.92,1023.44,582.925,8.1375,558.075,-179.637,-196.962,340.725,372.837,-185.325,870.362,-407.575
894.678,-79.2094,-90.8438,104.763,409.169,-76.5,100.991,449.544,302.866,349.35,320.928,401.041,-101.681,388.609,-296.621,613.785,417.179,183.949,-684.957,-451.312,136.639,539.396,-158.28,1806.48,707,480.64,405.84,-174.04,-5.12,-220.24,207.04,5.96,270.64,1415.6,8623.44,11800.2,4711.96,2336.52,-374.938,196.7,-374.762,148.488,-90.825,162.137,-180.075,-176.225,839.388,535.062
722.394,291.337,106.941,248.678,20.8781,273.7,558.822,374.584,406.459,779.609,406.725,270.778,-21.1438,175.95,-232.919,268.609,-230.221,598.326,180.525,1040.3,-186.957,-342.686,382.36,1223.68,196.2,50.64,-35.8,213.8,135.32,212.16,712.88,267.2,624.64,1276.12,3707.08,4613.88,2132.56,1278.52,101.5,818.562,-695.1,1306.55,937.212,46.6375,156.012,468.387,355.6,-640.675
397.694,210.056,135.044,410.338,-654.181,567.269,286.184,212.5,257.603,175.95,71.4531,235.609,284.113,254.841,427.761,164.859,-931.779,291.019,188.202,98.77,213.518,-464.489,97.16,1613.88,635.92,188.96,-145.92,104.72,473.28,58.92,436.08,186.72,275.12,1871.44,7950.56,9746.48,3831.28,1990.64,180.337,926.712,637.787,-421.05,-275.012,341.775,-3.85,177.625,312.112,404.95
224.081,-58.0656,444.497,-51.6375,169.256,-116.025,812.759,617.1,309.081,313.544,47.3344,482.853,148.059,69.1688,-118.275,-56.7512,406.7,707.264,1463.29,483.682,-729.051,762.666,46.72,1743.12,1082.92,140.32,-93.44,251.68,34.16,255.76,315.72,407.16,118.72,1978,8862.88,12044.4,4652.44,2446.28,69.125,449.925,-201.25,844.725,62.3875,580.3,366.188,-231.787,-301.875,622.475
508.3,23.9594,-426.966,379.1,-137.116,-352.856,911.359,419.634,448.641,406.778,440.034,144.022,24.3313,-55.25,320.691,-290.915,658.19,31.8512,-444.257,309.694,276.079,302.846,178.24,1110.32,225.4,18.2,231.8,-114,-54,-19.72,304.96,946.96,689.16,1133.2,4159.04,5715.76,2090.16,1836.24,1479.71,-376.163,-1062.07,-234.5,-204.312,-657.212,628.862,302.312,153.037,-559.125
227.003,26.1375,-35.0625,-293.834,-204.478,230.031,236.034,466.013,382.819,951.522,231.625,90.2594,143.597,179.244,285.001,86.6312,-43.575,468.016,-40.9813,680.911,238.417,-324.634,450.68,766.32,319.92,163.48,261.8,-79.08,144.76,36.52,569.52,618.96,379.2,1249.24,3256.32,4445.36,2017.48,1602.08,-39.1125,329.962,324.712,199.5,222.863,514.412,480.375,618.188,419.212,606.725
898.875,354.291,152.947,72.25,29.8563,469.466,441.522,996.572,412.303,701.516,123.569,240.178,231.094,267.644,821.389,834.461,367.69,212.999,-638.893,222.44,274.107,-95.9688,161.96,1308.56,838.36,97.56,52.76,248.96,52.68,131.84,181.52,590.56,488.72,927.4,4648.96,6432.16,3373.68,1864.6,124.512,623.962,177.537,681.625,-109.025,261.45,-310.8,274.575,471.275,472.762
465.906,182.378,179.456,-355.619,134.991,-304.566,655.244,468.669,438.441,695.141,122.241,115.812,-0.584375,387.016,-108.315,149.296,-82.585,346.732,1451.57,135.809,929.185,-165.481,153.08,570.64,224.68,142.84,229.72,6.16,223.56,-71.96,368.16,405.96,232.08,708.32,3122.04,4000.2,1659.8,1086.88,221.025,146.037,1.75,-488.512,-129.762,-977.812,132.912,-806.662,-240.363,-236.95
331.553,-274.391,-67.5219,-427.816,-27.1469,-228.331,-45.9531,378.781,519.297,262.331,562.913,79.3688,5.57812,312.163,652.484,-46.48,-671.47,170.669,1.76375,302.742,-218.497,442.598,524.2,1430,870.92,567.28,19.8,47.12,193.08,29.2,-29,419.92,551.84,1444,6763.56,9073.8,3988.92,2239.8,438.9,409.675,-12.3375,25.8125,242.725,-25.9875,-134.4,-226.712,-186.988,-996.362
456.928,79.7938,-325.072,95.5719,2.01875,69.9656,521.156,396.95,424.309,217.122,398.597,-9.1375,441.469,448.8,-419.357,113.71,209.99,462.206,816.409,-94.205,527.258,429.836,55.4,1193.56,425.32,604.12,60.32,337.52,489.6,14.16,488.2,517.6,575.32,1475.08,4581.8,6747.4,3258.16,1455.32,120.4,-330.4,618.362,440.562,201.863,319.9,39.2,200.375,151.287,-323.663
1049.43,183.812,-396.95,284.006,-303.397,455.653,598.4,390.203,249.316,147.634,-20.1875,175.366,214.413,222.488,445.606,-76.2562,633.186,291.226,248.585,508.79,615.03,625.198,169.32,1044.84,340.64,235.44,-64.28,-82.24,14.96,88.36,104.4,430.12,844.76,981.84,3108.32,4069.6,1791.88,1331.88,196,419.125,-768.337,323.75,62.825,219.8,-263.112,368.55,-326.55,437.85
383.403,-300.794,16.3625,184.397,-285.494,-46.325,462.347,929.422,64.6,153.797,146.253,229.606,322.416,-209.259,355.033,-5.70625,-124.5,-103.024,259.79,54.1575,328.369,-216.941,-71.6,1521.48,510.24,168.88,-45.32,168.76,303.24,-32.96,629.36,478.72,515.32,1237.24,6631.6,8633.96,3417.36,1980.56,557.987,52.325,-125.037,-268.8,89.8625,-49.175,-327.775,-787.5,367.413,296.012
