"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
371.238,273.328,575.928,252.556,71.1344,-238.903,751.081,632.612,274.709,317.422,173.506,82.875,108.481,54.5063,249.934,290.604,672.715,773.041,491.982,787.878,-156.974,427.761,-219.36,1292.04,339.52,347.88,115.84,417.56,88.32,-27.08,720.64,1537.96,4881.6,7170.08,5068.76,5604.04,2220.48,1524.44,160.825,533.487,765.975,593.775,-124.775,717.412,386.487,10.675,-737.275,83.125
700.081,134.406,-50.4688,-153.797,-136.85,-43.0844,527.053,353.069,-10.0406,-298.934,556.059,246.872,319.653,-86.7,696.162,479.117,-345.695,-586.291,-369.35,-412.717,474.241,-513.044,59.6,701.24,368.8,385.36,44.36,34.44,448.16,-110.28,406.12,876.32,2625.72,3256.84,2574.8,3166.12,1268.2,905.56,709.188,-314.125,459.2,940.712,768.688,396.55,70.9625,188.3,145.775,29.75
459.85,-97.1656,310.409,46.9625,-290.488,-172.816,762.344,283.422,338.991,603.819,113.581,119.903,-220.734,-82.8219,184.571,-389.892,-192.041,-829.585,104.995,-529.747,91.8187,-469.365,210.32,1024.6,232.56,407.84,497.04,-148.76,408.48,508.44,525.04,952.52,3229.08,4378.32,3190.88,3578.76,1556.88,994.2,-522.2,-104.213,300.913,-246.837,27.5625,994,-155.837,-320.512,-82.6875,-476.35
615.559,334.156,7.96875,276.834,-107.738,290.541,279.756,677.609,508.831,-7.65,164.528,316.944,321.566,28.1031,-977.948,1045.8,-20.0238,-264.666,-541.679,-31.4362,-103.335,-469.884,290.12,1005.64,310,258.2,526.56,142.52,-81.36,-181.72,88.04,1015.88,4616.08,5869.84,4830.24,4680.48,2687.68,1070.28,441.962,-75.25,-149.975,631.75,25.4625,-275.625,431.462,-425.512,-251.3,-78.225
938.294,-384.2,34.5312,-196.828,-107.684,-16.7875,186.469,665.338,629.159,301.325,-104.125,-306.584,486.731,387.281,1353.31,-124.915,-180.94,357.211,204.595,370.699,78.6425,36.6237,301.84,1008.96,532.04,-201.4,290.92,22.4,26.56,-55.2,1158.2,1111.84,2573.28,3368.36,2873.48,2965.72,1524.68,1187.04,43.05,130.988,706.388,555.188,656.075,174.825,218.575,635.162,473.9,650.825
728.344,398.438,42.9781,-138.391,121.922,342.019,591.706,1074.93,515.259,596.594,-41.4906,686.109,259.675,356.628,-319.758,-3.83875,740.464,283.445,481.919,4.04625,49.2812,263.836,266.72,1121.2,379.48,99.96,-156.4,317.04,-141.64,-39,392.44,1105,2654.28,3972.76,3511.36,3758,1748.6,1010.24,-531.3,559.475,197.312,-154.525,508.637,343.612,331.887,443.45,970.025,487.288
695.725,87.7625,56.8969,121.231,-120.381,-179.191,69.4344,508.566,-41.65,460.594,234.759,-24.4906,-354.291,-323.797,112.569,62.9762,-345.072,-816.409,363.851,-85.8012,-1024.53,-563.57,380.6,1075.16,638.32,-16.56,250.12,-70.08,46.44,126.16,54.68,683,2947,4562.12,2997.4,3607.84,1494.24,1021.2,51.45,-46.9,1080.62,402.938,670.513,1110.99,-478.887,171.412,43.3125,-1092.7
463.25,-151.725,-74.6406,47.9188,244.534,-227.747,457.778,467.234,87.8156,393.072,495.125,340.213,205.753,92.4375,757.271,225.864,-346.318,612.747,131.348,803.544,1342.73,-327.331,255.36,1364.6,481.44,-93.76,288.28,-226.76,-63.68,7.84,260.2,1153.24,4386.92,6005.16,4503.56,5083.44,2334.64,1007.32,245.35,506.712,339.587,67.025,195.212,220.15,-355.25,150.238,-77.7875,-62.9125
436.263,292.613,-198.634,582.675,146.466,-368.741,943.234,789.703,391.106,784.869,744.388,59.1281,242.781,280.819,241.322,44.1975,-18.5712,390.307,174.3,625.82,-13.1762,-562.532,240.04,1292.12,400.12,651.8,198.32,419.96,46.96,8.68,265.44,1300.32,4362.04,6161,4396.8,5302.48,2590.6,1726.88,376.862,-106.487,-83.0375,149.188,301.262,387.275,404.775,1101.28,384.825,667.625
395.675,22.2063,-706.562,-205.009,17.3719,287.406,-110.128,480.463,95.6781,-91.4281,536.828,-89.675,72.8344,203.734,471.44,238.521,462.932,801.987,-1238.15,182.289,-605.174,322.766,523.88,1553.64,425.08,-44.08,396.36,89.88,77.56,401.88,240.44,1877.2,6261.04,8897.2,6227.96,6961.4,2804.36,1698.84,243.337,676.725,-120.4,-191.887,426.3,686.263,241.062,331.975,-106.75,-356.125
309.931,-786.994,-292.984,-106.781,364.863,164.528,-144.766,462.081,80.0062,389.566,393.603,174.622,211.331,-330.863,-145.665,885.921,-327.539,-1195.3,-414.17,27.9087,-654.766,654.351,-72.12,509.04,458.12,135.08,96.76,224.32,124.4,553.04,234.36,1000.6,2981.04,4098.76,3187.16,3630.56,1306.96,1118.52,-220.412,-699.65,355.688,723.625,111.3,175.525,-268.8,510.475,826.087,1469.47
299.041,69.1156,416.234,-463.516,50.4156,308.656,325.656,578.956,415.597,264.297,122.241,182.166,325.55,105.241,164.548,312.08,-371.529,712.866,-28.5312,231.051,4.04625,6.225,23.16,1169.16,435.12,210.12,291.68,126.4,199.12,-304.96,158,1246.08,4779.84,6719.24,4747.44,4990.92,1839.24,1400.04,308.788,-641.812,-248.938,-24.15,2.8875,677.862,662.375,-307.65,694.312,409.413
394.772,119.372,95.8375,299.572,117.406,147.475,449.172,722.128,280.553,471.219,228.969,168.034,388.291,330.544,226.071,1110.75,29.6725,323.389,-158.53,969.129,-749.801,549.667,161.68,1757.32,464,103.36,-71.84,183.24,-53.64,191.4,975.16,2633.68,8203.52,11377.3,8226.68,8559.24,3389.28,1705.24,297.325,9.8875,-312.462,-86.5375,-234.15,462.525,337.75,-114.1,138.775,514.587
422.716,60.0312,-122.4,-229.713,-194.331,180.519,140.091,726.006,388.663,435.944,67.575,290.275,162.722,300.9,-1289.41,-172.64,400.475,674.894,-407.53,257.922,-1053.27,385.431,301.48,1381.24,762.76,276.24,405.28,568.2,117.72,80.96,436.2,1401.16,5734.08,7818.28,5501.08,6486.8,2651.44,1657.4,865.112,739.725,-66.325,119.35,420.525,60.375,935.287,832.388,337.225,121.975
435.253,194.809,-195.075,129.678,-551.597,-558.131,370.919,72.25,149.759,110.234,192.631,-279.119,107.1,167.45,666.698,484.927,132.177,1022.77,705.915,-224.515,131.244,107.692,79.76,640.08,10.4,23.24,-146.68,351.2,65.76,124.04,344.24,906.68,3010.96,3557.76,2698.52,3312.4,1052.52,683.84,1187.2,-406.875,34.5625,-21.525,333.112,330.487,-219.012,245.875,-509.6,641.725
504.688,280.819,-162.881,274.497,-386.378,292.028,634.897,645.097,423.725,466.491,29.3781,-146.731,26.1375,-109.119,229.184,-528.71,177.724,535.35,586.499,81.5475,63.08,984.172,539.84,1435.04,553.56,259.48,171.56,244.12,248.16,235.56,302.16,1582.56,6211.44,8291.8,6354.48,6541.6,2901.84,1810.48,354.288,-383.95,-238.962,-264.862,293.737,236.337,-36.3125,842.888,11.2,1015.88
275.453,80.325,83.6188,150.981,-253.672,117.991,192.578,343.294,217.069,323.212,352.697,40.9594,273.859,7.8625,262.073,50.63,690.767,674.894,65.4662,155.625,-155.625,-110.079,442.6,1208.12,418,354.2,-102.76,-14.16,45.88,-95.36,397.6,1049.48,4026.6,4968.96,4360.24,4794.48,1852.2,1119.84,428.837,98,-228.462,-89.075,66.15,147.7,-78.75,48.825,532,-22.05
758.519,229.128,253.619,227.641,56.8438,-169.363,597.763,884.319,552.766,590.431,251.706,119.106,370.812,408.372,319.342,444.465,-302.224,-255.018,584.839,301.809,1474.91,-1209,348.28,1846.96,802.68,313.12,118.76,334.4,290.8,113.04,448.48,1726.84,7016.72,9100.48,6741.44,7609.88,3255.84,1777.44,-535.15,-597.8,626.587,287.087,176.575,510.913,406.438,884.45,-433.125,-205.712
425.85,99.3969,286.609,378.463,24.0125,161.447,290.806,742.316,339.256,244.906,274.125,13.4406,240.869,571.944,-150.749,-419.15,-601.335,41.085,-568.758,550.809,103.542,-37.35,335.04,1212.36,209.72,143.28,764.2,275.4,55,53.92,281.64,942.76,3253.4,4732.64,3698.44,3845.44,1803.4,1280.96,542.325,392.612,401.8,154.087,139.3,-77.175,573.65,-919.1,189.175,273.612
1191.86,-85.6375,-481.259,135.947,-181.263,68.7438,792.094,689.562,496.772,447.844,-87.3375,-67.6281,298.456,-199.378,1185.24,431.185,796.281,180.214,441.767,-921.922,-899.824,-78.1237,-96.24,1569.72,307.8,562.6,272.4,791.88,165.72,180.64,190.76,1461.12,4556.08,6472.52,5087.56,5789.16,2921.12,1924.2,135.8,256.112,932.837,663.775,84.875,-242.812,-335.212,-330.487,-457.887,-61.3375
685.738,124.578,17.425,-194.756,591.706,-275.984,396.525,578.531,765.159,20.1875,649.931,319.334,-222.434,-136.531,-880.111,1162.41,458.575,-738.078,-138.921,220.158,-61.42,136.224,-31.56,921.08,209.52,168.8,198.44,-130.84,-228.56,63,-12.4,1031.2,2934.36,4213.48,3331.96,3605.84,1631.84,1227.28,243.6,-460.862,-534.888,357.612,-154.35,391.387,-243.512,109.112,191.45,-77.525
393.975,150.769,-152.628,256.913,-101.681,17.4781,271.788,836.931,874.491,741.147,55.7812,541.875,-132.175,241.294,-1039.68,-300.253,469.987,-351.401,729.777,292.679,-108.211,-251.283,686.2,861.68,715.2,424.64,105.92,682.24,-139.32,131.72,2007.8,1995.48,2923.52,3157.8,2673.16,3154.4,1593.2,1140.36,-395.062,-142.1,-205.012,174.738,687.925,158.287,138.688,230.562,496.825,590.45
389.513,-320.238,-290.275,241.188,160.066,-162.562,604.987,258.347,77.35,309.241,459.425,-77.8281,207.4,104.55,740.568,-183.949,304.921,-262.902,769.825,-146.91,-404.21,464.177,95.16,1431.56,814.12,377.88,438.32,30.48,38.28,176.64,146.84,1141.52,4309.8,5437.4,3956.56,4389.72,1937.24,1027.08,-596.05,1232.53,245.262,203.087,-431.375,-553.7,-604.625,863.712,541.8,-405.125
654.234,-174.728,130.528,-266.634,45.9531,-323.956,426.594,406.884,287.353,-50.0438,-32.2469,568.331,21.0906,82.875,83.2075,435.024,216.423,730.711,234.268,-48.7625,-520.825,-715.564,54.04,1107.44,447.24,247.6,99.72,94.52,263.08,-80.84,28.56,1384.28,5195.92,6577.2,5036.48,5282.08,2588.64,1512.24,261.188,-368.987,531.912,836.15,165.2,-242.725,-37.1,-97.9125,-610.75,462.788
844.156,-173.613,495.019,-270.513,-351.422,-211.916,975.906,618.588,144.447,655.669,-79.3688,-548.941,59.925,361.888,195.984,-325.568,-124.085,-696.992,860.295,-476.939,-370.699,120.039,264.04,1348.8,241.72,218.76,95.36,162.6,227.8,-145.52,173.04,1102.36,4600.68,5632.04,4570.48,4930.64,2182.68,1102.56,508.637,166.337,929.95,647.587,352.8,2.7125,-278.337,-266.35,616,778.575
746.459,-11.7938,360.772,-334.156,399.819,-249.953,446.303,1038.91,273.594,655.775,666.4,-8.075,726.856,-145.137,765.883,-193.182,813.296,67.7487,259.79,542.509,412.406,-605.07,139.64,1436.28,480.36,-179.8,302.92,233.08,375.96,213.76,425.16,1825.6,7061.68,9163.92,7137.92,7521,3115.8,2056.84,-54.6875,-535.5,-330.75,-446.075,575.925,163.275,-115.15,212.1,1370.07,64.4
411.134,2.49688,195.075,188.328,-160.119,-116.238,306.85,386.484,192.631,-11.3688,255.531,225.622,302.388,-224.666,-227.42,-97.8363,562.844,1047.56,1400.83,700.416,-628.621,335.527,332.68,1025.88,323.12,94.56,482.24,-151.52,305.56,289.08,494.24,1310.76,4774.76,6049.52,4530.64,4772.36,2170.04,1253.88,1055.34,678.65,726.337,331.887,578.025,-874.65,239.488,58.8875,236.688,79.7125
481.525,76.2344,-41.5969,-57.4281,-76.0219,-184.981,525.459,87.7094,158.259,740.403,534.438,281.722,160.384,-169.894,746.378,919.64,-407.322,296.932,-328.784,33.615,579.444,-76.9825,100.8,1162.4,464.96,44.88,415.28,692.32,-118.84,-20.72,580.2,1505.72,5136.04,6841.32,5478.88,5758.84,2565.44,1472.92,715.75,212.975,143.5,680.138,-429.625,795.2,-159.075,1433.95,299.775,471.538
688.819,569.447,-313.65,-91.2688,434.669,378.091,750.125,634.366,293.834,646.425,394.825,486.838,492.681,459.691,35.7938,290.707,-640.034,747.207,57.8925,141.723,522.381,405.144,717.76,1985.04,920.56,-264.12,554.88,405.92,93.56,240.36,599.6,1962.24,6484.56,8851.08,6510.28,6919,3267.12,2284.72,963.112,344.663,1000.3,-233.712,324.975,779.45,551.688,499.362,-79.5375,1407.79
16.8406,345.791,-249.156,337.556,-88.0281,84.2563,597.603,216.538,275.134,370.6,-16.4688,424.15,778.494,290.647,-45.9613,851.269,46.9987,638.581,-691.286,521.136,186.024,-362.917,45.48,986.76,593.24,113.08,559.04,152.16,116.04,159.04,398.56,738.68,3369.4,4639.36,3545.72,3923.84,2137.6,1197.32,954.188,172.812,260.663,-275.012,-248.85,962.675,-58.275,1164.36,-83.3875,599.112
968.681,-160.225,-127.234,351.953,-74.6406,-193.163,361.622,461.072,969.425,-48.9813,-23.1625,58.1188,358.169,70.2844,-380.036,262.695,529.54,-351.609,-683.816,6.12125,215.385,-456.292,238.72,1779.08,265.32,249.68,79.88,133.08,-53.64,128.04,603.04,1923.56,7706.24,9978.48,7421.04,8436.32,3191.44,2108.36,29.05,73.4125,13.0375,-130.9,-255.938,93.5375,983.938,219.625,-397.425,-624.487
554.2,22.3656,100.938,167.291,-178.925,-38.5688,1020.27,646.053,384.838,570.456,-106.409,474.194,453.05,376.019,-304.195,346.11,553.714,-783.831,-868.906,235.72,141.93,102.505,49.44,1542.64,504.6,248.56,320.32,-138.92,312.52,37.72,780.36,1909.32,7462.96,10308,7413.16,7709.12,2859.84,1948.92,66.325,410.812,31.4125,423.85,-86.625,-168.7,210.875,-242.287,578.987,124.775
583.791,-188.806,-317.475,-86.1156,-85.85,210.056,376.338,672.988,319.016,212.288,240.391,38.7812,282.094,-16.0438,-394.665,-279.399,305.751,-273.9,-238.417,-468.12,146.91,327.435,-249.44,1251.64,483.2,60.2,56.56,268.4,74.8,350.88,305.6,1719.12,7798.4,10019.5,7611.32,8002.28,3241,1873.24,-475.913,-333.375,409.15,573.3,74.1125,705.425,267.575,-197.137,-221.55,418.862
207.134,-32.5656,-165.006,310.675,116.45,409.753,203.203,323.159,-58.4375,498.578,367.359,396.631,112.519,182.963,867.454,591.271,4.87625,709.754,497.792,-192.975,-657.152,1086.47,305.08,1008.68,89.36,163.44,676.52,121.04,-66.88,58.16,56.84,1028.68,4544.12,5747.88,4190.36,4554.32,1858.4,1297.84,448.875,901.337,231.438,683.638,-258.212,214.725,172.113,130.2,247.975,1138.2
213.084,-2.49688,335.591,309.878,-121.391,-101.15,356.681,256.222,11.7406,-20.4531,319.228,-334.741,-429.038,404.706,358.041,31.54,-457.122,-169.527,-262.073,-767.335,-1021.73,565.23,442.88,1171.8,367.6,228.88,382.76,259.76,233.4,170.96,-91.24,1085.28,2542.04,3898.76,3170.48,2801.6,1427.36,706.28,787.938,306.862,473.375,212.887,423.762,484.487,757.487,274.487,-410.2,-749.875
119.425,-69.9656,212.181,-159.8,-512.975,383.031,6.1625,343.666,27.3594,375.859,103.169,92.7031,45.7406,160.544,633.186,451.831,92.6488,-235.097,-248.689,1262.95,757.479,-937.9,-17.12,814.64,251.88,207.96,105.36,-42.44,43.56,-162.44,389.72,691.92,2946.04,4186.12,2654.44,3357.96,1333.76,583.28,668.15,194.775,196.525,-177.188,-8.1375,-77.9625,426.125,202.562,46.9875,442.05
496.347,218.769,38.3563,639.147,16.575,41.1188,661.353,867.266,260.525,195.128,269.928,-229.872,-84.8406,-143.278,234.164,479.844,-561.391,-593.554,607.56,-893.702,531.096,-485.446,12.64,1428.52,751.16,-63.44,-53.28,234.28,292.52,55.6,592,1872.56,5140.16,6730,5413.68,5695.4,2314.36,1641.64,891.975,256.637,88.375,-38.2375,-209.912,160.562,-232.488,-14.9625,-65.625,-423.938
295.959,387.919,323.956,-328.578,-335.166,-256.116,467.606,818.125,289.266,705.022,-15.2469,-203.256,559.034,123.941,3.63125,250.452,50.4225,435.439,898.267,644.91,-174.196,-366.341,109.2,992.64,87.64,22.12,-291.48,49.16,380,8.76,-181.96,1011.4,2721.4,3914.24,2963.2,3543.08,1927.52,892.04,-69.65,48.125,818.212,-25.025,651.175,-834.925,1131.11,1123.15,270.025,224.438
310.197,97.3781,78.5719,265.837,71.6656,298.403,160.331,640.741,425.956,285.069,439.981,167.078,402.316,-138.338,-20.335,101.467,-368.831,205.321,427.658,-640.864,621.359,-627.065,257.28,889.12,327.84,-290.36,81.16,220.16,-250.92,-23.92,237.36,964.24,2385.84,2963.8,2741.84,2783.32,1256.52,485.52,623.35,375.637,-214.9,-271.075,66.675,836.587,-65.1875,-415.45,97.9125,533.925
1035.51,-252.45,732.966,156.559,-338.194,-144.872,42.6594,306.372,-12.6969,19.3906,109.703,-123.516,366.828,-60.6156,47.31,135.601,-613.474,-195.361,-873.679,344.658,178.035,62.5612,258.6,1161.72,274.8,189.56,428.52,-48.6,79.92,-113.12,40.04,1364.08,6425.36,8493.72,6059.28,6461.16,2704.2,1591.6,1220.89,158.113,-559.3,292.512,661.412,-58.0125,-538.475,209.738,-736.487,941.062
435.253,358.594,199.219,480.091,361.25,-268.388,640.422,966.131,360.347,353.919,72.7812,-186.097,294.738,107.153,-266.845,464.281,272.862,414.689,-706.537,322.144,-525.39,428.384,263.72,1725.44,707.04,248.52,954.6,322.84,444.16,-208.56,1039.36,2454.16,7808.52,10601.6,7666.04,8282.96,3199.52,1928.6,69.7375,-428.137,638.225,-422.012,168.613,-139.912,303.625,557.025,422.362,-539.7
1234.36,-242.303,137.328,246.341,397.959,-100.247,258.825,571.997,411.931,652.959,601.003,243.206,-156.772,88.0281,-355.033,185.194,555.166,712.347,127.405,-880.422,316.645,316.956,168.84,964.28,457.56,299.32,543.08,144.52,-203.32,252.76,643.2,1253.8,3251.12,4580.16,3873.12,3600.28,1856.08,1347.56,-116.812,287.612,884.45,246.75,102.025,191.012,446.075,801.675,33.25,807.188
913.113,108.216,-49.725,489.972,440.3,-298.509,614.019,327.303,285.494,1055.38,537.041,623.794,97.5906,58.0656,69.9275,592.309,603.721,-143.382,815.786,-200.652,292.575,-595.94,-41.08,1439.2,315.72,301.08,128.48,-96.24,388.96,-0.96,455.52,1858.88,6579.4,8932.96,6769.68,7368.8,3054.32,1866.04,506.975,563.15,1101.54,347.112,263.112,564.638,850.938,41.5625,-256.375,-286.913
192.153,109.278,317.9,-184.45,-300.847,-155.656,733.497,662.363,380.588,160.225,208.038,-234.228,-119.266,-24.0656,-345.487,1000.98,-922.856,816.409,157.181,15.0437,-302.016,888.204,558.76,1323.52,686.8,252.24,282.52,212.08,-151.52,20.96,422.16,1442.04,5932.4,8019.04,5984.72,6206.12,2581.84,1999.12,-174.65,600.862,256.462,677.337,-159.25,-120.225,248.85,57.225,789.337,613.287
