"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
118.363,449.225,383.244,-166.228,30.0688,181.794,105.825,727.706,1411.48,956.463,1002.1,72.4625,252.822,39.525,-387.506,253.565,313.429,-451.935,-284.275,400.164,899.927,-113.399,406.92,6099.96,1756.76,608.88,954.16,362.32,348.64,12.92,530.04,474.44,377.76,968.2,533.64,1365.28,9463.4,5832.76,-28.9625,134.488,-1135.22,-68.25,1104.07,763.525,-27.9125,686.612,85.8375,-245.175
683.559,212.5,-56.1531,112.041,68.3719,151.778,413.472,287.406,1800.88,1089.43,666.719,649.825,101.044,188.275,164.859,288.633,639.93,333.038,-552.676,582.66,-311.665,-227.835,280.92,5314.04,1154.68,601.84,765.8,307.92,-182.92,195.16,504.04,668.72,500.64,640.64,717.44,1559.32,7934.88,5275.48,420.962,732.9,-184.363,-9.45,435.05,845.337,-2.7125,735.438,-618.888,-178.325
258.984,324.328,-315.191,360.453,-252.981,-391.638,449.809,416.713,1164.98,942.384,742.156,-22.3656,314.128,798.363,280.332,1036.67,412.302,602.165,88.2912,865.586,-188.617,-72.0025,306.6,3663.6,1239.16,359.6,855.28,111.32,131.48,72.12,456.76,559.84,426.84,730.08,1194.24,1461.12,5848.32,3822.36,-23.275,454.212,851.287,383.775,74.2,97.9125,-156.8,-337.575,329.7,-437.5
-196.403,-141.684,178.766,-376.178,-348.925,-1.16875,162.669,388.981,1418.01,733.816,140.197,295.109,431.481,90.95,705.5,179.591,508.375,-312.184,-460.857,-551.016,1149.34,10.9975,176.88,3710.68,1076,502.04,613.8,305.04,-76.92,84.88,242.64,527.04,294.24,373.08,272.92,957.4,5290.64,3502.52,367.15,193.637,57.75,246.137,359.275,-646.362,353.062,258.913,-588.875,70.175
138.603,240.284,-91.9594,376.019,237.788,440.459,-150.609,475.203,1173.11,340.691,654.447,91.0031,552.713,10.5188,294.027,473.515,625.924,-555.789,-48.7625,411.265,633.497,340.922,500.52,4928.56,1486,572.96,589.16,504.32,145.56,29.12,510.16,325.88,810.76,1083.2,1008.84,1214.48,7397.64,4411.6,483.962,-538.388,672.438,245.525,788.112,594.737,-60.4625,901.513,485.012,-263.375
438.547,-164.634,-206.497,-87.8156,21.9406,588.678,846.547,355.778,360.134,701.888,475.522,241.134,66.1406,-26.7219,-365.096,22.41,269.957,-196.191,293.301,-280.125,-355.551,-606.73,226.96,1711.92,376.88,309.76,328.08,478.4,129.44,-237,-314.56,555.52,521.32,496.92,487.52,630.64,2868.96,1790.48,55.2125,310.188,-99.1375,-574.525,239.225,-123.375,358.837,395.762,594.3,418.512
336.281,-173.719,-300.847,-208.144,-206.656,126.491,163.944,392.753,951.734,539.803,303.238,114.538,-30.7063,894.466,-584.216,199.926,-855.938,-4.3575,-741.812,-4.565,-307.515,180.94,-125.2,1938.84,655.28,370.36,479.6,113.68,480.92,198.52,-23.88,785.92,153.48,752.28,510.08,1127.44,2947.96,2175.84,-150.062,-218.4,759.675,43.225,-189.613,-34.475,264.688,71.75,273.875,398.913
363.269,145.137,-10.7313,246.341,422.184,35.3813,610.778,758.306,1128.85,762.503,544.319,550.8,228.544,420.219,159.671,-130.31,-253.98,-153.861,19.8162,-210.094,106.551,770.448,206.12,3196.2,1091.24,552.32,391.76,480.24,338.96,-73.96,679.24,372.76,422.72,973.04,738.2,1117.16,5554.52,3598.32,279.125,219.1,-105.088,266.175,111.387,-105.875,-268.8,466.9,-110.425,-246.4
218.663,136.691,376.816,-160.384,138.072,-173.719,242.994,173.559,844.369,831.513,165.484,312.906,-64.2812,579.487,206.878,91.8187,304.299,658.812,260.931,-223.789,293.197,686.099,34.08,3779.6,1169.32,616.8,399.56,210.48,212.88,49.16,70.36,385.64,250.84,666.72,516.04,1058.96,5935.4,3477.4,-148.05,379.663,-264.425,-165.9,529.112,735.787,-197.05,580.037,196.525,180.25
502.35,277.684,206.816,919.116,362.366,-114.909,378.303,726.644,887.081,577.15,595.478,461.231,252.344,483.331,-588.055,483.164,-491.671,579.34,777.399,456.292,147.014,513.355,137.2,2134.32,970.64,460.72,195.6,59.76,137.28,302.16,388.64,752,410.16,776.96,908.36,1047.8,3807.36,2309.96,-981.225,446.25,438.987,352.1,231.875,327.512,-81.025,-831.688,447.3,357.875
678.353,-208.144,250.431,153.478,328.153,-297.766,745.131,520.891,211.278,541.078,507.716,496.772,12.2719,420.909,-140.374,329.095,517.712,672.196,-413.547,609.531,438.24,251.697,262.56,2166.04,807.64,685.76,144.6,-56.72,193.72,280.8,642.72,693.68,763.6,837,798.96,1383.2,3332.68,2131.72,873.513,-735.438,54.8625,675.237,970.025,-54.6875,-166.337,705.162,445.812,7.875
554.253,196.35,155.816,287.194,288.522,-160.703,392.381,407.788,1078.22,881.716,556.166,277.206,187.372,300.794,79.5762,-258.026,-267.571,556.307,297.97,-13.0725,-823.152,-240.596,-35.28,5144.72,1319.24,330.56,343,175.24,89.48,138.12,431.88,308.4,608.72,469.76,503.8,1348.04,7386.48,4386.08,500.325,743.662,-31.7625,162.488,-633.587,256.112,-330.4,426.3,-551.162,-124.25
388.928,67.4156,-203.203,88.6125,415.597,-247.828,955.506,837.781,573.644,649.666,554.891,562.913,474.3,215.581,-767.854,484.927,485.654,642.939,-570.521,-189.447,-350.26,321.832,137.04,1648.68,746.48,31.24,204.8,258.36,485.88,-165.68,437.92,525.2,283.88,936.24,410.88,1014.28,2836.12,2122.32,388.062,-60.9,509.862,99.925,102.55,765.013,713.737,1115.01,-515.2,-235.725
460.116,39.6313,66.6188,176.906,59.4469,304.619,462.613,317.688,995.934,690.519,389.566,355.884,403.591,306.159,70.135,210.82,-230.533,1124.96,417.594,-294.65,168.697,-241.841,51.8,2509.52,1041.72,179.32,245.24,205.16,33.52,70.88,137.52,180.92,508.44,713.72,385.32,818.72,4363.52,3215.64,380.1,24.15,-554.75,681.1,-61.1625,656.862,-614.162,-136.062,-268.8,316.925
285.759,-65.2906,226.153,-225.197,-59.5,337.663,485.403,444.55,776.634,402.263,475.044,253.672,140.569,614.975,342.686,493.642,762.666,205.84,-921.092,460.961,714.008,824.916,241.96,2625.72,1036.56,609.44,422.56,-25.6,370.6,157.48,559.2,648.24,-35.28,1021.84,971.24,1342.32,4173.04,2500.96,387.538,960.662,-126,-209.912,-270.55,-22.225,276.85,-207.55,-45.675,214.025
