"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
361.197,250.803,463.569,149.228,-37.1875,31.5031,358.859,532.259,604.722,763.778,953.806,867.478,457.778,340.744,-1.66,-394.25,-47.1025,918.084,-102.401,296.725,596.562,515.949,346.24,3055.6,2273.52,1376,807,1057.96,462,15.72,21.8,62.44,577.04,929.8,609.92,1441.68,1162.4,2015.68,1115.45,313.337,335.475,345.975,1364.91,17.5,1083.07,460.775,224.787,102.812
621.456,1057.35,489.388,493.319,66.4594,44.0406,551.809,641.856,439.875,1698.3,2648.28,3121.31,2598.77,1874.68,257.922,721.27,478.495,296.829,-171.084,121.284,899.513,-37.35,-88.56,9878.16,7951.2,3766.48,3370.4,2379.16,1644.72,547.8,322.24,560.28,416.8,1164.32,1305.08,1253.36,2563.24,4844.44,802.812,297.325,2198.35,1546.65,2325.05,1637.82,1667.22,1630.56,805.787,15.4875
510,116.769,111.616,495.019,272.744,-129.519,438.441,574.972,529.869,686.109,683.453,1057.98,587.403,974.312,425.997,-547.177,479.74,-437.306,292.367,453.491,-99.6,-179.176,-62.44,4109.76,2851.4,1733.88,1339.6,1301.12,577.68,559.36,228.08,806,854.64,1368.08,1233.36,1236.6,1538.24,2350.48,1036,604.188,541.888,1025.5,1282.14,-62.475,527.013,1037.31,779.975,-29.4875
246.925,-309.825,123.994,10.3063,335.113,705.713,221.478,569.181,609.663,1205.46,1041.41,1413.18,1192.87,964.538,184.052,-609.946,1290.34,-632.979,1141.46,-623.849,282.511,151.164,-276.8,3440.28,2813.52,1289.04,1293.72,748.72,548.04,380.44,551.44,480.96,426.32,1070.88,864.8,750.88,1562.28,1868,557.9,-23.625,-158.2,762.825,1228.67,-156.712,454.212,-126.175,170.275,405.913
789.916,1047.04,342.709,246.553,-0.74375,115.069,42.2344,483.119,1080.88,1329.45,2226.36,2371.07,1177.3,1706.27,53.2237,-493.227,397.051,468.535,484.824,-38.8025,211.027,216.007,-34.68,8351.68,6099.12,3135.36,3080.16,1441.16,1127,761.64,99.4,329.28,633.56,1001.12,1251.68,1052.76,2116,4171.48,-255.938,454.038,756.438,1877.66,2120.39,1192.62,1145.81,1505.7,-43.4875,37.8875
499.163,688.075,525.3,377.719,26.8813,430.631,70.9219,605.466,862.272,710.441,1608.15,1268.25,925.225,669.269,475.382,360.842,404.521,759.45,-280.436,510.139,11.9312,147.221,227.6,3617.72,3097.28,1490.36,1370.4,1170.52,599.8,535.96,329.08,671.32,363,1000.68,996.8,1301.72,1374.92,2245.92,302.925,-79.1875,39.4625,1083.07,366.975,484.312,657.3,330.837,538.388,734.212
130.262,367.413,337.238,350.413,-131.059,-49.9375,165.963,442.266,582.516,520.147,1230.96,773.022,626.184,779.769,400.267,181.77,697.096,476.731,-431.496,71.5875,246.406,441.767,193.36,3854.6,3129.12,1483.56,1459.16,1297.4,825.92,132.68,522.64,271.56,545.6,754.04,820.88,1414.48,1438.8,2051.52,590.362,-219.363,1115.28,557.55,482.825,338.8,1128.57,561.4,552.737,-201.25
627.831,625.228,458.15,617.95,150.344,395.675,625.016,676.334,1041.04,1408.56,2516.16,2488.53,1449.09,1058.41,571.766,-209.575,883.327,-101.779,-129.895,240.492,311.976,379.414,151.6,7557,6473.12,3084.04,2599.68,1759.88,1085.28,291.36,445.52,139,579,1516.08,965.32,1161.84,2324.4,4062.16,550.025,362.25,1277.76,1603.96,1130.76,1646.22,1221.67,1521.36,11.9,551.25
762.184,1109.3,728.556,706.616,710.388,400.138,784.072,563.816,736.312,2279.7,2931.54,3083.75,1893.69,1707.54,133.423,243.812,346.94,-35.275,-906.049,720.129,834.046,238.729,368.32,9486.84,6891.28,3405.52,3142.24,2338.44,1214.4,311.72,666.28,813.72,756.96,1532.52,1427,1956.08,2520.28,4982.96,822.325,160.475,618.888,1432.81,2211.39,1692.78,975.275,1509.55,619.675,924.787
271.256,472.866,492.416,256.594,307.222,533.853,17.5312,797.247,279.331,332.297,689.244,683.506,729.884,638.616,-290.915,77.9163,815.06,456.085,606.73,-521.759,530.474,-308.76,12.16,3091.24,2289.04,724.92,798.12,1143.76,810.72,589.84,402.92,376.92,163.92,469.08,734.84,804.24,1273.36,1695.84,162.575,128.712,233.625,478.45,152.075,484.75,935.287,632.537,-790.737,-490.962
