"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
9769.32,400.881,-260.366,-296.916,37.3469,156.984,5894.8,4615.18,1379.55,655.191,237.841,431.481,-93.1281,113.05,-300.253,491.775,-598.015,298.8,-707.575,-438.966,-176.997,157.908,351.12,749.68,-71.64,-212.36,-163.08,175.4,-289.96,388.88,346.92,563.24,1386.88,4208.8,3379.84,3288.56,1135.96,831.68,424.288,325.062,89.6875,135.188,-515.462,924,543.987,140.7,391.387,191.8
6060.87,425.159,44.3063,67.8938,24.7563,-49.0344,4035.75,3187.23,1160.83,692.644,145.562,495.869,-7.91563,420.006,-448.096,-289.047,-40.1512,237.38,50.3187,631.734,-360.427,-302.639,-12.32,763.76,609.28,-327.2,-158.24,242.8,124.4,58.96,322.12,633.88,1014.84,3349.24,2747.52,2621.24,1363.16,976.24,-537.075,-311.587,-449.925,143.15,738.5,797.912,517.825,503.3,475.038,-682.85
10425.2,-49.9906,563.603,214.678,194.491,246.288,6977.65,5407.01,1382.9,1128.06,822.641,853.081,339.256,581.134,165.274,1121.64,553.921,1047.56,1543.39,604.344,735.899,-186.335,440.88,1392.2,392.4,517.16,384.64,747.2,242.2,41.04,463.12,418.04,1768.76,5133.4,4343.88,4458.16,2121.12,1646.04,175.175,-179.375,419.387,817.6,263.9,220.238,55.7375,488.163,-392.35,-573.388
11120,-24.9688,41.2781,520.891,-324.062,-419.794,6994.81,5269.95,960.234,768.081,432.703,63.4844,37.1875,65.7156,-201.275,1612.9,1211.07,-390.619,342.894,-59.345,298.281,721.374,144.48,965.2,434.88,25.64,-120.64,2.6,243.8,-16.88,447.44,223.84,1120.6,5407.4,3936.6,4547.32,1768.84,565.24,-161.613,394.625,961.8,116.55,309.225,-797.562,157.15,-1138.2,940.362,591.938
8225.82,435.784,-529.709,11.9531,25.6594,-166.547,5001.45,4053.38,1090.39,838.419,489.494,-62.7938,10.2,-110.288,-256.989,411.161,396.117,-374.434,335.943,546.451,-1022.14,492.605,86.56,889.28,465.64,473.52,348.04,286.36,379.92,37.32,795.12,328.24,1404.64,4114.16,3364.6,3690,1493.4,930.84,172.025,590.625,1022.26,164.938,-873.337,116.025,833.263,-598.938,-303.188,-508.987
5353.99,246.978,245.278,254.894,-157.356,586.341,3799.98,2693.38,399.553,737.747,508.459,363.269,139.931,348.819,266.949,-140.685,-543.339,-537.84,281.785,-172.951,-196.295,-351.09,-92.16,675.44,355.92,339.2,58.2,-251.32,312.16,-285.76,517.64,278.44,1052.12,2660.8,2344.72,2319.64,1249.32,759.72,565.6,205.363,-414.837,-295.487,-297.15,24.325,232.837,161.525,318.938,-518.525
17702.8,-131.219,28.6344,202.619,22.6844,392.647,10955.3,8175.03,2302.28,1233.14,857.969,499.109,157.781,308.444,1158.78,-271.617,-330.859,221.506,-658.19,1721.73,-73.04,99.6,185.92,1480.4,634.36,355.44,678.08,-263.56,101.36,249.04,619.32,751.72,1840.12,8061.48,6234.04,6513.68,2275.32,1327.88,317.45,243.95,-747.513,12.95,340.812,-121.1,-102.2,-32.9875,126.875,176.488
17058.7,676.334,-89.5688,-580.869,19.7094,-62.475,11019.9,7876.47,1550.29,994.341,250.272,-20.0281,95.3594,62.9531,662.755,445.399,-432.637,-473.515,-322.455,61.2125,300.564,-405.663,310.28,1142.68,169.4,-112.68,333.36,235.76,-6.6,-108.32,532.88,850.8,2280.04,8416.08,6069.88,6172.36,2431.08,1425.4,321.475,215.337,-62.125,922.6,988.312,-212.45,242.375,495.075,202.562,-183.05
9442.76,569.022,36.2313,-329.481,-376.231,-152.256,5717.79,4288.89,1379.82,477.009,367.253,483.438,525.034,-425.691,250.245,1099.85,568.239,-145.25,-298.904,1051.61,-577.991,933.646,28.04,677.32,414.04,510.88,292.88,88.2,92.72,669.36,666.76,846.96,1427.52,4851.92,3894.76,4319.6,1572.48,1168.44,-129.85,32.55,359.712,365.137,553.525,-151.462,1150.36,30.5375,11.55,463.4
5668.33,309.931,-88.5063,210.959,131.803,-36.3906,3912.18,2589.74,859.616,242.781,438.972,480.675,456.609,-48.6625,201.171,105.929,145.25,377.961,38.0762,1252.26,-321.314,-217.149,-10.08,586.52,467.48,108.84,265.32,-8.24,-494.56,285.4,268.88,579.32,807.16,2635.12,2270.72,2221.36,922.84,635,-185.325,370.387,111.3,321.737,331.188,166.25,261.362,729.487,-83.9125,260.925
