"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
9753.27,222.7,-32.8844,-437.644,174.144,-117.247,5324.29,4006.85,1257.58,605.041,373.575,155.231,181.422,200.812,-58.515,-342.375,217.045,28.3237,527.05,-123.877,-174.715,-452.039,141.56,952,112.16,174.88,246.4,80.88,-271.48,-42.24,500.76,538.12,478.04,1016.72,941.92,1034,876.56,561.24,256.375,-157.5,-493.15,160.825,607.95,385.35,-94.675,426.913,427.35,129.062
10704.7,143.65,-397.109,195.341,377.878,67.6281,6937.65,4607.9,1499.72,1043.64,577.309,770.791,384.997,-130.847,-242.567,664.934,292.886,618.765,378.169,-429.006,608.805,695.229,-18.52,352.52,360.48,294.16,-25.96,326.84,105.44,-221.68,122.16,603.48,654.76,1497.36,1150.12,1313.24,907.16,614.8,1112.21,-280.262,558.862,-143.5,65.3625,408.538,277.025,194.688,254.1,-830.287
12377.8,119.638,257.072,498.206,-147.581,131.591,7783.45,5415.83,1325.26,719.631,741.306,272.266,313.331,35.4875,581.415,431.807,-508.479,126.264,274.107,70.0312,-209.679,-466.667,-167.08,362.4,130.36,-8.52,49.68,105.68,94.4,-78,366.68,196.56,267.88,1533.36,1493.4,968.16,1154,826.28,240.275,954.275,614.425,533.225,-441.875,-357.438,186.025,590.013,733.162,-1139.69
8022.62,-240.019,-326.984,507.556,129.625,179.988,5807.62,3685.33,1257.79,656.572,523.547,420.272,311.153,508.884,519.476,-260.516,-152.512,829.378,-209.056,57.27,-32.5775,422.159,286.2,648.96,408.44,312.32,590.36,369.4,113.44,-33.6,488.36,347.04,991.56,1694.24,1413.2,1783.84,881,567.84,-258.475,700.787,-309.75,-244.825,-231.35,153.562,-341.6,302.837,1437.19,-563.587
17457.6,-174.516,237.575,274.55,14.5563,274.55,11068.4,7072.11,1882.01,914.6,387.972,-98.4406,107.631,-35.7531,671.781,319.239,-129.48,176.167,17.3263,-429.836,-258.234,153.342,153.48,783.12,456.64,178.2,257.76,375.44,17.28,-142.36,152.8,816.44,990.64,1926.44,1710.16,1882.36,1283.76,648.44,313.862,-67.8125,221.462,18.025,-17.5875,-113.575,68.25,526.312,379.225,-519.575
14652.7,-31.45,366.562,331.447,-195.925,31.875,8761.75,6259.72,1424.92,1122.43,403.591,210.534,325.55,525.406,-233.541,-470.195,115.577,-327.746,-5.395,954.5,661.821,9.545,-77.12,778.2,383.76,-80.08,7.8,-155.8,198.68,257.16,613.2,654.76,477.12,1482.2,1430.4,1620.08,1002.68,285.36,641.638,163.1,340.112,818.825,380.45,-797.3,324.275,453.95,75.775,-94.325
7312.34,217.972,-124.631,-21.1438,371.503,220.416,4898.6,3505.08,1032.17,228.384,583.472,252.609,287.672,77.6156,682.779,886.336,-604.551,675.62,154.069,557.138,-343.309,-797.734,147.8,1182.2,134.96,110.08,11.64,177.36,-31.36,340.72,404.92,567.28,928.72,1465,1324.8,1464.92,1007.24,700.76,927.763,-199.675,450.1,-101.325,-289.538,608.212,688.712,-39.55,-690.638,359.1
8503.19,-195.872,18.4344,24.0125,-82.7156,-373.469,4829.97,3507.31,1206.84,711.344,459.266,488.272,190.347,-7.38438,45.7537,79.0575,87.3575,-108.834,908.85,484.201,798.253,100.119,19.76,441.36,405.28,616.72,67.6,66.4,66.16,300.76,393.96,625.64,231.48,1047.92,1169.32,1730.28,840.56,787.28,833.087,475.475,-553.35,-10.5875,256.025,31.675,-233.188,114.012,-622.388,1351.35
6641.95,155.816,226.578,205.488,232.05,-84.9469,4215.42,3188.72,458.309,857.225,140.622,439.078,271.788,148.431,249.622,-224.826,876.791,-274.315,-54.1575,-672.922,402.342,870.878,91.04,194.4,205.56,239,-140.24,-242.24,199.32,256.76,362.44,271.24,462.08,1096.52,954.36,1027.04,615.56,604.12,220.325,-46.725,283.85,28.2625,308.262,-42.35,136.938,-176.4,-237.475,562.712
5442.39,61.2,-119.531,300.422,204.584,-252.875,3316.59,1941.98,569.075,854.516,409.488,88.9313,12.325,436.953,158.322,1086.05,-653.21,115.266,-333.349,270.891,-10.0638,91.1963,172.88,533.68,246.44,-91.32,25.04,437.6,31.48,365.08,572.84,555.12,252.44,809.28,888.76,1272.36,607.6,502.56,-39.725,867.737,304.062,323.663,627.987,20.65,401.975,-395.938,-486.762,-631.925
14663.9,76.3406,-492.575,-29.325,-548.888,80.9094,9412.63,6554.72,1661.22,881.184,842.669,-160.278,164.9,435.731,-107.9,483.164,-346.318,285.209,465.63,660.576,-179.695,-684.854,120.92,424.12,359.96,469.64,355.44,63.44,286.48,307.84,415.56,363.24,477.52,1609.92,1340.12,1764.72,964.4,543.56,401.1,248.5,198.275,340.462,-583.537,26.6875,644.875,-259.35,185.238,-787.85
12141,-209.153,137.222,-102.584,-312.428,457.778,7761.67,5121.04,1778.41,1183.73,520.731,334.581,67.8406,59.6063,365.304,-504.536,770.966,459.301,907.294,933.75,104.995,-726.976,286.08,569.12,486.48,73.24,372.08,242.28,7.64,-113.28,240.92,483.6,430.08,1219.56,1978.32,1577.36,1157.48,791.68,770.787,470.75,400.575,-408.275,-416.413,-66.9375,-297.325,240.712,589.925,-21.525
12638.4,262.809,94.6156,270.3,-513.772,125.003,8038.93,5354.42,1677.21,1130.39,280.234,237.575,341.541,153.531,-834.876,-388.855,248.378,50.4225,441.041,-490.841,136.846,-807.279,139.16,821.04,194.4,211.84,154.4,225,257.72,-165.32,307.08,816.04,780.04,1595.68,1289.24,1643.84,1096.84,588.84,117.338,334.775,-465.15,-266.962,-623.438,222.775,-525.962,260.75,-148.312,-114.975
17451.5,190.719,-223.869,63.4844,378.25,516.481,10457.1,7822.18,2042.18,1207.32,355.406,46.6969,71.1344,502.616,911.859,457.019,591.167,-1025.15,169.424,435.439,147.429,204.076,252.6,445.24,258.04,139.44,7.2,128.8,22.6,149.52,316.8,368.48,547.32,1808.92,1640.44,1506.4,1560.52,574.4,203.438,191.45,290.762,-132.562,587.388,300.913,-311.5,305.725,62.65,-244.387
12629.7,-140.834,-598.294,-60.1375,308.497,-122.559,7263.52,5450.52,1593.91,381.863,431.534,32.6188,237.469,119.584,314.777,259.271,397.155,-330.029,-752.395,-688.174,168.386,638.166,258,404.56,367.16,247.6,197.12,-52.08,258.48,159.28,112.68,295.12,234.36,1288.8,1357.16,1081.68,852.88,225.88,834.225,-95.025,-1.75,201.25,576.013,-96.075,-94.4125,661.15,783.65,-3.5875
8623.52,77.0844,-197.253,32.9375,-143.012,-242.409,5157.85,4008.33,666.134,448.481,301.006,380.003,390.097,297.341,-286.869,363.955,260.827,171.602,229.599,-407.841,574.36,409.397,325.48,620.92,-136.76,39.4,350.2,319.8,22.28,-125.24,536.2,640.32,492.36,998.44,842.48,1692.32,832.96,702.88,-502.688,-66.675,45.9375,344.225,-469.875,354.637,-223.3,541.1,307.3,-956.462
13665.6,212.713,526.681,-481.419,301.856,134.725,8040.89,5808.9,1128.22,625.706,506.547,-10.9438,98.4406,-17.2125,-325.982,-191.938,-48.3475,336.15,858.842,60.9012,336.254,684.335,200.96,721.4,32.72,203.04,41.36,255.72,432.08,-43.04,320.12,644.64,454,1592.8,1465.4,1219.4,493.6,468.4,-22.575,757.4,145.688,689.763,196.787,568.662,192.238,78.6625,467.25,48.825
12766.6,191.197,421.016,-85.2656,43.8281,-26.9875,8151.45,5311.92,982.706,822.481,894.731,373.15,173.506,-72.9938,652.172,196.606,317.89,515.43,480.155,791.509,-834.772,-547.489,115.24,564.32,474.04,75.84,277.64,-297.88,221.92,-239.2,417.44,621.6,677.88,1619.8,1410.08,1808.8,665.8,437.04,-91.175,967.138,-130.55,321.038,246.925,-620.112,435.312,554.837,176.137,-603.05
13543.3,493.903,-361.463,-332.084,79.9531,-10.7844,8309.97,5470.28,1009.64,497.941,735.144,303.344,360.984,29.8031,-133.111,387.506,22.2025,47.8288,-226.175,151.579,-53.95,-845.666,8.08,279.96,56.12,42.84,499.48,421.68,23.16,-90.2,53.44,554.6,217.6,1464.08,1588.56,1694.88,588,672.6,425.775,762.212,-18.4625,265.212,-122.062,120.225,-46.1125,534.275,565.425,-1062.6
13188.4,-310.781,-66.5125,-548.463,-125.428,-152.681,7508.26,5801.09,1135.71,615.134,319.281,426.859,-209.366,430.844,-462.206,404.625,-49.1775,372.774,-888.826,-130.725,-38.3875,59.8638,266,396.56,241.6,93.44,47,194.32,229.44,407.92,-38.76,378.92,428.44,1532.48,1192.48,1303.84,764.16,577.76,-261.887,197.75,208.775,943.513,-202.738,145.512,-0.0875,1.4,183.75,392.7
7497.96,491.831,152.416,-36.0719,12.6438,120.541,5001.35,3739.73,996.466,805.428,275.613,-306.266,547.719,331.128,-184.882,264.874,319.654,200.134,-255.225,-748.556,-151.682,191.419,78.48,651.08,419.92,129.4,536.52,-157.96,-110.12,23.64,96.2,550.32,737.44,1101.84,1084.92,969.92,876.48,274.96,-338.538,-61.1625,-385.087,-135.188,487.987,26.8625,363.562,-629.825,-292.95,333.637
10111.2,73.3656,539.591,416.181,303.822,-215.103,6705.6,4595.26,1175.76,676.281,438.759,559.406,234.016,-158.897,154.38,-6.53625,349.015,396.636,-138.921,89.1212,156.351,1068.83,418.4,449.4,356.28,-250.68,258.92,134.16,386.28,62.4,488.64,594.2,720.28,1424.96,1407.28,1835.92,869.64,569,-336.438,437.938,435.137,932.662,-177.625,214.988,-385.087,-321.212,678.562,-238
5371.15,569.447,70.2313,400.403,-121.763,-141.472,3267.83,2496.98,1242.33,608.812,375.222,-124.312,349.562,108.641,-328.991,-112.88,423.404,353.476,-82.585,224.826,-167.452,1370.95,108.92,557.08,185.96,508.24,156.56,-35.44,-48.96,221.2,88.96,362.64,704.28,776.16,888.36,919.88,801.84,583,234.5,-558.862,-193.025,-244.212,-29.575,216.65,247.45,180.688,558.25,128.8
6551.64,493.797,-230.881,218.238,-495.869,308.869,4023.85,2773.44,780.034,437.113,724.731,189.125,44.1469,106.834,6.8475,655.181,516.364,-73.455,644.495,718.157,263.629,103.542,57.12,334.92,221.04,411.56,168.28,264.44,275.84,157.32,298.84,456.28,114.76,938.84,872.44,1169.12,394,453.4,155.137,629.912,-240.887,443.275,500.675,29.3125,66.5875,41.825,583.975,538.65
6049.93,159.534,243.259,-301.697,-211.119,82.0781,3913.08,2458.94,589.581,706.138,458.681,319.706,-25.6594,-7.49063,696.889,603.41,413.029,-471.959,570.314,-544.999,-502.254,-116.511,-242.92,875.8,737.16,37.88,213.16,141.84,327.64,144.88,-158.8,241.56,14.08,994.88,1277.04,1202.6,1020.48,577.96,83.125,37.275,168.787,-351.75,148.837,708.925,787.5,443.538,-63.525,1406.12
