"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
266.263,49.9906,94.4563,270.566,182.431,-75.3844,438.653,950.619,1850.88,2017.32,1576.59,1583.5,929.847,446.941,-391.76,398.193,445.087,-23.24,17.7412,-11.3088,81.9625,517.09,281.48,937.76,201.56,78.44,37.76,78.56,-66.2,2.16,402.56,237.08,340.44,403.64,702.16,503.56,810.92,794.6,1145.2,895.212,681.537,541.8,514.15,444.938,206.938,572.688,844.725,-701.487
109.969,-18.275,90.5781,475.203,190.613,510.478,233.378,896.431,2180.68,2170.26,2277.47,1766.19,1371.9,1182.62,225.864,292.264,82.585,75.53,-237.587,357.211,631.63,-94.7237,257.2,1029.96,660.4,393.24,-104.04,126.44,45.24,-18.16,-136.12,328.12,639.8,704.48,491.8,1167.88,1026.44,740.76,986.3,65.1,1066.89,1112.12,960.925,601.912,1264.03,114.45,126.963,-805.263
488.113,187.956,115.919,336.972,356.841,-103.169,504.422,1277.34,1809.97,1885.41,1413.02,988.975,636.491,702.047,172.744,-47.9325,639.411,33.615,527.154,281.474,431.392,-431.6,148.96,1152.96,838.24,300.52,-74.08,413.68,16.36,-75.72,178.68,939.96,644.84,1055.92,1314.92,1702.24,1522.68,1014.8,-46.025,-370.475,547.575,1067.59,878.763,1003.62,315.788,916.912,131.688,-73.675
280.341,393.338,372.884,249.581,-312.747,280.341,1211.62,731,3386.4,3666.42,3135.01,2439.93,1627.8,1396.66,385.639,-792.235,518.854,231.777,251.905,-506.404,-483.579,166.934,375.16,1101.08,560.92,246.88,23.88,38.44,203.8,-4.16,212.36,556.44,1031.76,760.44,1028.32,1189.36,2131.88,1300.6,1576.57,428.4,1360.45,1133.3,997.675,996.362,455.612,1358.96,-10.7625,-619.412
-24.0656,234.281,221.85,150.45,-151.406,186.416,321.141,937.709,1204.72,1624.72,1179.53,914.919,427.975,312.163,513.666,418.943,725.005,-1025.36,238.21,-583.594,-486.172,-358.041,199.16,641.56,440.88,302.92,-241.52,168.6,-70.52,123.92,326.92,438.36,744.12,548.72,612.88,1157.72,518.88,593.64,604.013,8.6625,329.875,364.875,730.275,-60.6375,912.45,766.938,-107.1,314.125
-412.516,59.6594,-319.919,224.666,173.931,109.066,-37.7188,598.188,907.003,1729.54,1000.45,859.669,654.606,591.759,571.351,70.8613,474.345,-199.096,287.076,-40.1512,489.077,-298.281,61.44,726.84,442.2,274.04,378.32,102.68,162.08,-281.28,60.56,635.16,332.44,433.36,332.28,1037.64,1013.16,757.52,499.45,403.725,723.188,623.962,739.112,146.825,961.188,-249.812,18.9,-153.387
358.062,464.95,280.978,342.603,80.4313,156.931,595.106,1625.2,1795.62,2233.22,1391.88,974.525,853.772,956.197,110.494,182.6,345.28,462.932,-827.095,535.765,681.222,450.69,237.76,1102.64,758.44,337.88,106.92,220.8,117.44,-10.84,197.64,541.84,674.48,842.48,1236.96,1779.6,1354.32,888,811.562,-56.35,426.125,1153.69,1065.84,576.712,169.575,1619.89,788.638,495.163
729.247,377.4,-40.9594,182.591,229.925,-315.509,601.8,806.916,960.075,1986.5,1404.31,1150.37,773.713,847.769,46.5837,840.064,596.251,-217.771,-362.503,-811.221,510.139,143.382,-1.08,991,887,126.88,46.36,365.16,11.84,-41.12,218.64,244.04,265.84,767.68,410.6,1119.08,1000.44,796.12,947.888,-13.2125,560.7,561.837,827.487,701.05,853.65,70.4375,-272.475,-152.688
207.4,691.422,254.788,229.5,18.3813,517.013,76.7656,763.247,1969.72,2331.34,1889.98,1634.28,1008.05,577.575,208.537,293.924,-293.405,447.577,836.847,696.162,1714.47,479.947,140.76,1093.12,382.64,488.84,548.16,405.48,381.68,362.52,445.36,622,656.76,808.52,718.32,1175.48,1176.64,706.2,84.7875,-227.412,999.95,580.3,1234.89,896.35,679.7,202.825,86.5375,-130.375
819.613,885.594,-25.0219,79.7406,33.575,37.2938,285.547,709.325,1972.32,1669.24,1782.82,1724.7,444.763,826.253,7.36625,55.5062,-217.667,221.195,314.57,733.72,-754.263,556.722,546.68,759.92,609.32,329.72,136.92,65.68,96.76,-391.52,271.32,299.44,708.24,759.32,1085.16,1072.92,1155.08,773.08,1051.75,206.762,1141.88,1143.36,1261.57,-15.8375,788.9,439.163,-180.075,-191.45
276.622,624.697,622.519,292.984,0.85,140.675,288.416,1003.05,2606.9,3302.78,2799.48,1836.96,1446.91,1394.8,733.097,679.355,782.794,402.55,375.367,-112.465,72.3138,705.5,-157.64,1622.28,650.32,577.84,509.24,-128.36,276.44,227.28,503.08,362.04,288.08,717.96,798.04,1248.88,1561.16,1077.16,1328.95,692.562,1229.29,782.425,779.537,-123.637,30.975,-294.788,893.112,167.738
