"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
3867.98,-0.371875,-139.453,36.3375,-133.609,-146.041,5711.52,3793.18,721.438,855.153,37.6125,-54.1875,133.025,98.0156,-624.886,606.419,-663.896,-391.241,417.49,400.682,949.105,289.359,-48.4,209.48,78.12,-111.64,314.96,-122.04,-67.36,-407.64,398.32,408.32,283.96,324.92,848.8,1029.48,616.04,722.88,-573.912,-165.55,27.3875,-115.237,-202.738,289.887,-283.325,-196.35,-813.925,-139.387
4425.63,14.5563,-491.194,359.656,-135.15,155.444,5668.01,4034.15,1142.4,950.938,511.434,255.053,357.213,5.20625,186.854,301.082,615.237,-303.054,503.602,57.4775,-384.809,-185.505,284.56,885.4,260.64,-57,510.24,72.52,267.68,86,180.6,656.16,650.44,719.96,1279.88,1188.12,1145.2,558.36,-73.5875,-138.95,349.212,596.925,-20.3,10.4125,648.462,836.325,187.512,-407.225
5118.97,-163.625,-362.684,375.7,-91.8,99.6094,6543.94,4239.69,924.322,719.047,-22.3656,343.719,238.85,211.863,-279.191,598.119,6.8475,145.769,123.774,-709.65,-427.035,-237.587,138.36,527.88,36.28,147.48,78.08,-74.08,368.96,-326.32,284.24,497.76,125.08,932.44,1100.16,1193.56,892.4,676.52,-107.188,-619.763,822.237,21.7875,794.325,-338.012,193.287,533.225,-38.85,-575.138
4127.28,305.734,110.394,308.922,287.831,-132.812,4964.05,3420.88,946.741,517.703,489.228,725.263,204.584,70.8156,-697.615,-630.8,539.189,1049.02,-22.41,-587.536,-272.655,879.385,421.8,694.84,468.68,230.04,67.48,347.08,107.52,184.4,307.04,221.4,255.36,1053.4,1293.4,1727.44,880.96,513.48,-68.775,-475.212,838.95,360.587,31.2375,-309.05,676.725,11.55,-57.1375,-861.175
2822.11,442.956,110.925,-149.069,223.603,-186.256,4291.38,2758.36,856.216,584.216,554.2,472.6,119.85,344.197,-16.0812,485.446,247.029,-32.9925,-799.497,-405.87,396.221,-429.318,-5.84,544.6,664.6,-136.36,-23.2,454.52,153.24,-135,562.4,644.84,616.76,709.84,949.56,1654.6,650.84,624.56,-516.337,-286.038,645.925,565.95,279.825,763.787,169.225,472.587,127.4,20.3875
7624.61,-76.3938,-6.48125,-70.0719,-168.778,-374.903,10172.9,6412.4,1512.63,1219.7,720.003,-374.956,174.144,173.719,257.196,252.424,-69.305,459.82,-236.861,362.814,83.415,378.999,311.96,602.56,172.52,47.28,260.08,-87.28,25.24,-175.76,219.96,166.48,215.4,749.6,988.04,1056.24,588.48,274.96,-848.138,-288.05,620.55,-354.025,-343.7,170.1,213.062,-274.137,125.213,1805.82
7408.71,438.334,-122.559,66.2469,109.013,197.466,9670.29,6270.03,2043.29,1277.07,537.997,-89.0375,211.809,-65.5563,-232.607,636.091,143.486,-621.151,-438.447,-365.719,118.171,178.658,130.16,512.92,545.12,157.28,-179.64,90.48,73.96,215.28,318.32,237.92,310.72,872.64,1303,1225.76,1073.2,552.36,-313.775,127.05,166.25,165.812,-104.037,-58.8,-482.913,-388.85,1170.66,864.85
4497.83,-292.028,-116.822,150.238,122.453,41.8094,5857.35,4012.27,1197.38,771.428,90.1531,146.519,189.284,51.1063,-263.525,-218.082,684.646,-178.658,-251.075,320.172,168.697,-360.116,-28.12,599.84,257.84,325.48,317.24,-109.8,196.8,20.92,356.04,888.56,404.48,977.96,834.68,1420.2,569.4,309.96,542.938,-26.8625,-36.575,783.388,714.787,-123.725,-11.55,1487.76,-598.062,-126.262
7046.5,271.947,198.05,106.569,-21.8875,-200.069,9176.6,6072.45,1389.38,1376.42,857.544,300.209,160.119,-103.806,-265.807,162.68,479.221,1026.4,-136.846,1395.65,-532.341,-239.662,86.16,625.12,156.56,52.04,-1.04,-91.64,229.36,432.64,18.84,252.64,465.08,538.44,1116.44,906.76,686.08,691.16,21.875,78.4875,55.7375,-144.2,-324.625,-5.425,640.675,-3.15,391.125,667.975
3107.81,-178.553,136.584,73.95,216.059,-199.963,4046.37,2625.6,290.062,495.922,257.709,139.241,150.981,570.616,290.811,-125.641,-889.76,-146.391,787.151,507.96,980.438,214.14,28.68,290.8,111.08,-113.32,113.4,311,277.08,51.4,-22.68,352.32,853.2,557.48,561.4,724.84,921.4,304.64,11.9875,63.4375,337.225,180.25,-551.25,1203.39,121.012,-195.212,37.3625,-691.25
3349.32,-174.994,-151.566,229.819,-53.2844,-266.316,4094.88,3046.24,1095.54,865.141,196.934,371.291,258.4,226.206,509.931,253.669,-99.6,762.874,95.45,1044.14,358.871,-232.192,418.44,734.52,297.68,42.28,40.36,419.84,312.36,209.76,455.04,1006.04,654.2,1243.08,1275.48,1536.08,1089.52,657.4,-5.1625,612.5,439.862,-139.738,155.575,403.025,68.1625,378.175,1119.39,-850.237
7205.56,287.406,289.159,-249.475,380.269,36.4438,9501.25,6443.37,1369.56,1317.98,361.144,185.353,571.731,171.541,567.097,190.07,-257.404,409.397,-286.454,433.052,-1144.67,483.164,461.2,324.12,482.52,-80.6,-20.04,148.76,-135.68,-73.64,353.36,425.12,293.08,702.68,1071.96,1172.84,737.48,740.04,481.512,96.25,-266.35,-289.188,-20.9125,760.725,-103.075,552.912,-43.3125,-677.25
3107.55,47.3344,254.522,166.334,-382.447,425.85,4131.96,2729.56,348.022,679.734,168.566,-302.122,-144.766,-65.0781,-456.5,189.966,-484.824,635.884,-823.36,-431.496,-352.231,496.132,281.64,348.04,81.44,-138.16,-76.6,-13.92,-172.68,157.52,543.6,304.36,82.24,1296.92,837.32,1062.88,998.44,735.92,566.825,-142.537,161.962,-316.4,-302.837,494.725,-511.7,235.812,-279.212,-212.363
8442.09,263.872,148.113,-294.1,-140.091,234.175,10428.8,6760.85,2087.18,1083.91,220.522,312.375,217.866,538.581,-54.4688,-676.761,-453.387,-428.487,-41.1887,-137.988,-339.781,-473.93,412.28,672.04,509.28,-147.16,-84.92,625.4,341.84,134.16,588.84,876.12,110.52,1059.16,939.04,1205.64,641.04,383.16,322.438,-294.438,579.075,691.95,541.362,-37.3625,878.412,211.575,-9.45,348.6
2515.89,-215.103,111.244,454.591,310.409,263.553,3521.98,1805.83,1057.45,762.609,216.909,38.0375,126.863,23.9594,107.9,-454.632,498.622,-278.569,-189.344,-21.3725,-16.0812,-220.054,308.56,390.72,262.28,374.6,211.6,33.68,-33.24,-100.2,365.84,274,520.52,478.72,905.72,892.52,1105.88,201.92,299.512,138.425,-1022.35,-236.425,-193.462,-100.012,-519.487,-216.738,131.863,-191.45
5880.19,-14.3438,360.719,-257.444,356.788,141.206,7137.34,4978.34,1386.93,1033.33,665.284,387.494,120.7,252.981,-226.59,833.112,977.636,-328.265,-161.227,381.281,1142.81,-8.40375,151.24,608.2,437.48,-242.84,38.28,393.24,457.4,-110.36,481.2,843.88,715.4,666.24,921.48,1344.6,1116,339.2,-62.9125,-462.175,493.762,1073.45,226.537,533.4,-464.45,159.075,77.4375,196.7
2567.21,301.75,497.356,333.2,160.278,192.738,3438.99,2300.31,679.044,0.265625,323.319,312.747,147.9,186.469,-287.595,1219.27,103.542,936.551,528.917,651.965,-154.899,208.122,65,705.44,240.6,347.48,155.28,52.88,159.84,-240.88,269.6,576.04,628.84,1076.2,718.6,1387.92,1599.32,1052.56,245.087,22.05,-6.7375,178.938,-249.113,614.25,-355.075,608.912,845.95,-474.075
7051.87,273.594,-436.953,311.525,-18.5406,-64.8656,9595.07,6033.88,1761.41,814.353,523.919,255.691,-149.972,217.812,-485.654,490.219,-562.948,581.104,315.919,-319.239,-241.426,327.85,27.88,941.48,320.2,139.88,84.8,296.8,-3.36,171.8,85.52,364.28,767.12,557.8,1014.6,1222.32,828.76,720.68,373.275,640.237,-280,-9.975,-298.112,17.4125,553.087,568.138,478.538,331.188
2231.09,-341.275,-273.541,203.947,-160.491,-142.428,3323.61,2284.69,596.541,688.022,129.359,117.088,88.1344,269.291,-899.097,-109.145,-648.541,140.996,68.89,33.5112,686.41,461.376,-101.96,250.8,279.28,208.84,262.52,190.72,-76.04,-109.68,794.88,367.52,426.32,642.76,826.32,864.92,554.52,649.84,64.05,-477.225,256.288,-39.6375,417.462,-661.325,114.537,-224.787,-92.225,84.0875
6802.71,-262.119,-55.4094,116.397,279.916,147.05,8887.71,5727.46,1413.02,870.559,535.819,84.0438,419.794,181.688,992.161,-33.4075,184.364,720.336,128.131,385.639,-704.462,-824.605,290.64,273.4,151.56,316.68,484.88,118.28,72.88,78.8,314.24,293.64,522.16,752.8,1204.52,1170.56,785.96,599.24,-268.538,1018.85,242.287,-327.775,18.375,-824.337,-695.8,75.25,812.875,-616.175
3691.87,358.222,171.966,369.591,91.1625,812.228,4999.91,3096.66,1208.22,847.556,480.303,183.972,273.062,-0.053125,108.004,453.906,428.384,383.045,-745.755,-292.471,19.2975,-117.652,334.72,1052.24,461.92,162.48,212.88,209.4,166.08,244.24,477.24,798.32,642.16,1001.68,1334.84,1332.2,1335.4,1023.4,-110.6,40.1625,504.438,1259.21,800.537,336,968.1,1268.57,678.475,1045.28
3241.53,252.45,183.122,60.1375,-157.091,-353.812,4467.39,3533.66,961.828,701.091,388.663,321.513,230.35,174.144,68.1637,-413.547,494.057,-115.993,-225.241,480.362,-679.977,28.9462,254.24,828.64,434.36,-4.16,221.32,476.08,532.4,393.8,831.2,995.16,621.48,820.44,1105.84,1767.92,838.84,461.64,212.363,-145.6,830.725,740.95,908.25,-935.55,-179.9,141.662,-305.55,248.062
5813.95,-54.825,489.016,93.6063,376.284,-224.347,7839.98,5196.37,1348.79,1101.49,226.684,-10.625,-37.9844,370.866,438.655,100.119,166.208,635.573,-778.851,491.775,-107.9,639.204,66.08,330.2,40.36,43.6,207.64,168.04,-165.32,-126.76,491.56,355.52,559.68,886,587.08,1333.72,892.6,206.28,-56,553.263,158.462,337.663,96.425,352.012,-239.137,333.812,273.875,-249.9
3653.03,-163.997,154.753,-218.344,-334.581,-424.15,4964.37,3616.91,1189.73,514.038,465.428,259.888,455.228,492.097,-328.161,-354.41,288.633,376.197,405.04,1554.38,-313.117,6.95125,53.84,350,363.88,-55.16,-455,-28.68,469.72,181,282.48,600.84,643.88,902.76,960.44,1479.04,1106.56,461.68,-243.863,83.3875,-732.725,-812.7,929.688,-1358.44,-456.837,541.188,251.562,-657.037
5055.32,587.722,178.819,17.4781,-63.4313,145.616,6943.76,4247.72,1271.39,558.184,318.166,166.281,350.997,-5.7375,-371.217,-1196.86,425.167,214.866,-148.363,-414.481,-481.296,21.58,54.84,783,288.2,430.8,189.8,225.08,-59.36,211.28,263.4,167.68,431.92,506.88,509.76,615.64,680,386.6,361.288,-196.262,798.525,-57.925,95.2875,220.85,-322.875,-180.95,-260.487,-731.5
3075.94,96.7406,227.906,-18.8594,-10.8906,241.825,4498.89,2971.55,835.125,1037.8,214.519,281.191,-171.116,-46.9094,1.66,200.964,627.895,523.522,506.196,-779.37,728.636,11.205,268.52,100.8,154.56,254.72,-255.32,-98.96,34.24,311.24,438.12,438.6,657.12,412.84,725.08,1071.44,853.4,660.52,-162.4,284.725,-337.4,-702.537,-384.562,-132.65,-28.875,-358.837,419.913,-38.7625
