"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
1161.21,-121.922,732.647,-145.35,-358.859,0.159375,3212.1,3949.21,1343.69,1093.15,407.044,408.956,198.688,105.559,-240.181,363.54,-64.6362,206.255,543.339,-587.951,146.702,556.1,-164.84,294.64,407.08,98.88,29.24,-24.16,492.04,-81.68,332.96,209.08,261.56,867.12,823.16,1038.6,459.4,975,645.75,235.287,222.337,-38.5,474.862,545.3,-160.562,-327.163,-738.587,688.275
997.156,347.278,-264.403,-24.3313,150.663,450.978,3305.65,2836.4,970.7,116.928,41.225,-91.6406,-181.422,-195.766,404.21,33.8225,782.897,395.806,-510.242,569.38,-619.284,-192.56,-281.68,108,330.44,194.44,135.44,129.52,-13.8,356.96,322.92,19.76,81.64,648.12,901.64,744.48,645.84,388.48,67.025,728.175,367.062,-377.737,-289.1,652.05,-873.162,406.612,-173.075,-1064.7
1475.44,418.944,-147.422,134.3,192.472,550.588,7062.44,8009.66,2277.26,1617.6,907.003,72.675,128.35,451.297,-33.615,831.971,-268.401,387.818,123.462,944.332,-310.316,6.74375,-253.24,724.6,479.32,-143.96,-141.96,-57.04,359.68,237.64,622.16,752.28,511.6,666.4,687.48,1037.96,1129.56,573.2,-62.3875,17.5,-74.375,306.25,420.7,-118.65,-216.387,158.725,409.938,460.775
750.125,130.103,914.388,501.394,212.872,475.681,4276.99,5080.45,1466.99,1149.09,821.472,445.241,-49.0344,407.15,406.492,395.806,515.534,202.52,465.734,389.477,-447.577,621.878,853,1032.44,950.68,-20.12,131.48,246.92,752.44,208.52,992.88,1176.16,859.96,1642.96,1251.8,2086.88,1110.92,1043.68,202.825,-95.2875,761.688,810.337,427.788,366.45,298.112,462.175,-157.325,393.4
974.312,209.897,-56.1531,177.066,36.4969,-140.622,4678.72,5397.87,1592.16,463.781,629.531,666.506,280.5,-202.3,-149.919,13.3837,-321.21,315.089,161.331,-669.499,1104.52,631.215,257.96,612.84,-43.48,504.76,-222.6,3.68,-4.32,-112.96,-218,628.84,583,495.28,608.04,975.04,246.8,275.8,543.2,703.938,155.575,492.8,-275.625,305.025,-10.2375,572.775,521.5,42.525
871.675,83.5125,484.925,314.606,-393.603,377.028,2652.64,3057.77,676.334,340.744,225.197,404.919,304.034,773.288,892.561,311.769,-213.206,97.8363,1127.97,-304.921,569.069,481.919,19.16,657.24,458.32,-11.88,-169.92,95.16,104.32,-165.76,359.12,402.04,378.92,583.84,933.84,1236.04,948.04,628.48,-315.7,268.887,481.075,370.562,-513.188,69.3875,48.125,126.262,113.4,-64.6625
714.425,76.5531,32.5125,-128.456,-321.141,-306.266,4135.14,4119.95,1777.62,865.938,303.981,-390.363,329.003,-45.7406,-781.652,665.66,-647.296,936.966,-760.591,-130.518,1237.43,362.399,-81.28,780.08,75.56,97.36,-202.2,51.36,251.28,-306.32,591.68,548,384.96,687.2,191.52,549.92,453.56,230.4,43.1375,-758.45,164.85,194.775,-208.863,922.95,-312.2,214.2,-578.112,-283.15
896.378,-125.588,-16.15,-133.981,206.019,223.763,3184.9,3466.83,1308.89,509.788,272.372,55.3031,49.5125,142.003,-162.161,-460.339,-625.612,540.122,1032.42,553.402,-236.55,845.147,254.56,199.48,103.76,303,457.56,39.84,556.96,-45.2,93.92,263.6,393.12,297.92,215.84,367.56,435.64,339.04,-235.55,-885.5,105.175,-554.662,264.862,-2.45,-5.25,-421.837,-217.525,495.425
1425.88,60.9875,2.7625,-250.166,50.6813,-694.344,6903.06,8053.48,2421.33,1714.08,679.734,-273.541,176.747,528.753,14.4212,-361.776,542.716,242.464,1443.37,1224.77,-662.133,-317.786,-109.44,275.48,405.04,-124.64,143.44,152.92,192.88,561.84,329.84,699.4,378.88,834.6,491.76,1017.84,332.44,407.8,-192.762,25.025,-313.425,114.362,-124.688,72.1,-385.875,-348.163,472.237,-456.925
883.575,200.281,387.016,104.072,16.2563,-259.941,3529.89,3720.24,1402.08,1443.88,176.641,-50.7344,103.966,433.128,-274.522,875.857,518.024,411.265,950.972,-308.656,231.57,-441.56,334.04,491.72,201.8,369.24,9.4,284.68,75.4,369.88,-18.48,258.04,402.84,792.84,576.6,974.84,616.36,435.88,659.138,-536.638,-126.7,274.837,256.112,-127.487,393.312,619.062,609.175,27.3
982.759,-30.0156,346.694,-91.6406,-79.2625,257.444,6263.44,6488.69,2484.07,598.825,782.584,399.447,321.459,-71.2406,394.146,358.664,-351.505,-375.575,1.4525,418.424,-354.617,-2.49,6.96,372.28,353.6,-266.72,207.84,-84.88,-53.32,33.56,351.08,838.6,429.52,755.64,788.76,1153.04,622.76,867.28,778.487,1085.53,607.075,524.65,136.587,708.75,451.675,432.862,-317.538,-71.575
529.338,544,189.763,251.6,-93.925,341.381,2870.45,2811.53,1374.29,1078.12,479.188,-83.2469,88.7188,220.681,122.425,-557.76,1135.23,1155.88,912.585,1467.85,-270.684,-355.759,167.52,411.44,406.16,322.2,-129.04,181.6,439.48,-22.64,-129.48,715.2,631.88,1115.76,980.04,1430.24,511,545.84,295.837,141.575,-185.5,1442.53,674.625,182.875,697.112,377.825,-511.262,-964.337
265.041,7.91563,-244.428,475.416,-65.6094,-93.8188,4296.38,4871.93,1720.13,649.188,589.953,-46.1656,-236.141,488.803,-393.524,144.524,142.345,371.84,-589.3,187.995,-361.672,352.128,240.44,808.72,122.88,232.72,259.28,70.76,505.36,214,261.48,732.32,588.56,611.84,924.2,960.12,981.56,540.16,630.7,160.3,-91.7875,900.2,174.037,875.787,216.037,136.325,-177.45,-547.225
499.481,686.216,261.428,488.059,160.012,-91.6406,3549.76,4361.99,1459.08,423.778,0.425,102.797,437.538,-120.488,276.598,29.5687,666.179,455.151,228.769,450.275,-49.1775,-185.816,-9.28,727.84,446.16,21.52,215.36,109.92,29.76,-12.84,314.32,650.24,641.84,640.64,789.28,889.12,954.76,284.08,571.9,-193.025,159.425,130.287,605.675,-383.163,343.788,-206.938,460.163,-36.75
359.763,-150.875,-275.613,121.072,257.231,-310.303,2677.87,3119.87,1288.23,151.141,595.744,263.978,416.394,770.897,168.697,194.635,-808.628,46.7912,182.081,1208.38,576.539,-326.812,438.68,794.4,342.08,-262.44,122.32,455.24,467.4,284.2,463.52,382.8,235.84,653.52,861.72,883.8,779.44,534.36,189.962,-147.087,204.4,-377.387,-149.275,563.5,350.438,474.075,-134.575,326.375
