"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
439.025,207.081,-99.875,-109.225,518.553,-204.266,1274.52,5769.06,2266.53,1599.97,885.275,308.55,539.909,1032.38,615.756,441.56,450.586,1205.47,217.045,1152.35,535.35,813.504,168.72,780.8,181.88,242.92,577.24,40,-94,-303.44,752,353.52,588.48,1040.56,834.72,1835.92,1062.08,761.16,469.175,-389.2,867.825,-341.6,47.775,481.425,14.525,61.1625,608.912,79.45
379.472,431.375,-258.878,-342.763,326.719,299.466,807.713,4111.72,1830.37,1397.45,341.594,-48.45,-173.506,236.566,-763.911,-465.007,1291.38,411.057,828.029,765.779,-612.436,419.876,362.52,474.56,538.2,146.68,205.68,230.84,74.08,-88.64,543.12,827.8,727.44,780.88,454.32,1074.68,768.92,443.2,19.1625,579.862,88.4625,-270.462,137.2,420.262,-353.062,-655.287,359.712,-952.087
727.812,342.603,583.153,-428.294,258.347,-1.0625,1284.88,5094,1824.47,1497.17,1037.05,833.797,-156.134,-308.816,300.356,201.379,-300.564,899.72,544.065,-206.048,970.166,-725.524,-11.12,971.96,732.64,162.4,197.88,65.84,66.6,115.4,266.56,650.8,579.4,387.88,752.48,923.28,837.32,485.28,231.087,653.1,-716.275,354.112,327.688,59.9375,490.962,-352.362,38.2375,-52.5
295.003,243.472,-119.744,-126.597,70.4969,18.4344,1211.94,3629.5,1248.12,1015.7,800.647,-314.978,240.125,27.4125,1031.17,-380.555,25.9375,-51.46,-857.286,491.775,711.517,-1269.59,461.08,998.16,325.68,76.12,304.32,47.6,168.36,71,169.8,125.8,148.76,775.2,677.28,808.36,923.92,426.44,428.225,-254.887,778.4,439.337,156.537,-500.237,150.762,-176.225,-166.95,60.6375
570.138,603.713,-263.925,431.641,-223.656,-562.647,1274.63,3290.08,1295.88,761.494,720.747,294.684,478.763,-157.303,165.378,-144.731,375.471,547.592,1621.2,115.681,14.4212,273.07,27.84,880.16,300.44,568.4,139.84,305.28,175.12,116,292.2,440.92,544.72,690.96,885.08,1458,682.76,587.04,562.1,-335.387,-249.287,62.475,1125.07,754.775,336.438,297.413,18.9875,-59.675
944.616,159.056,350.359,460.753,-247.722,-125.8,870.188,3160.57,1423.64,1144.63,665.709,157.887,126.969,328.153,-264.251,614.2,365.822,530.059,100.119,-333.452,-42.1225,165.481,295.52,770.96,271.84,-232.96,495.28,-41.64,83.24,373,219.36,437.44,684.16,1116.12,608.04,1357.04,442.04,769.84,-526.138,295.05,-282.887,163.712,1017.19,304.5,-321.65,-245,448.612,542.675
432.013,78.9969,-128.562,533.853,-50.9469,229.128,2484.92,7618.66,2791.56,2072.62,1060,295.003,197.147,161.872,1035.74,1080.56,551.12,55.5062,-35.5863,713.074,-199.511,-309.486,118.2,488.72,294.6,210.32,433.08,470.04,-248,305.96,745.52,369.08,673.56,1250.04,814.88,1690.16,1080.68,585.52,342.212,-605.412,14.4375,53.6375,-105.963,780.412,-275.362,-95.9875,105.262,229.512
474.247,295.109,16.7875,-48.025,-15.5125,415.863,724.306,2682.97,1149.15,750.603,703.269,-185.513,529.072,553.616,812.466,856.767,-10.4788,-60.2787,-431.392,207.915,424.96,577.991,94.8,632.84,122.48,391.68,341,-102.08,134.12,486.72,223,268.8,500.8,674.56,686.52,1345.04,988,596.64,560,-72.8875,-136.587,344.925,290.325,836.237,715.225,-34.475,978.337,248.238
643.131,-83.3,61.6781,246.766,32.1406,-149.653,1136.56,5461.25,2242.99,1435.12,803.516,678.088,129.678,14.9281,150.438,597.807,-278.672,-448.304,15.5625,288.321,-612.125,-166,176.56,877.12,-32.44,603.04,307.92,67.48,399.84,124.2,431.24,646.72,963.32,360.72,997,1598.76,1112.56,739.4,349.3,209.037,-37.975,405.562,912.275,774.9,693.7,500.587,398.125,5.6
475.894,615.241,675.856,-91.5344,-211.384,127.181,920.391,4658.58,1961.53,1254.28,1066.22,80.2719,231.784,416.659,-385.327,820.87,-1013.84,226.382,119.416,-100.845,-269.75,475.486,-80.44,504.6,362.28,-39.76,-245.36,-77.76,306.08,16.72,296.16,549.32,544.72,968.2,552.32,1203.96,560.8,415.92,437.587,673.05,-47.775,294.175,409.325,682.587,801.412,499.975,604.45,70.0875
343.506,159.534,-359.816,357.372,-186.947,-144.606,1152.12,3612.08,1210.03,935.478,793.05,188.859,297.394,-91.1094,-543.339,-391.76,318.927,796.696,155.314,91.3,-108.522,-410.954,638.68,562.96,293.88,-4.28,221.88,413.36,-37,93.04,497.84,551.44,449.48,999.08,717.84,931.64,358.12,220.52,210.525,264.775,816.987,-370.387,743.4,-90.3875,544.425,-725.55,-546.962,778.312
