"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
437.856,-14.2375,-408.903,-508.672,-283.475,271.309,140.622,1595.24,1559.91,886.709,1168.17,119.319,344.144,-47.0156,199.304,991.227,165.17,-66.5037,-978.051,-225.967,-471.751,-66.2962,285.88,591.8,370.56,173.72,479.8,-19.12,270.88,107.84,841.2,617.96,443.24,1085.4,975.48,721.44,876.68,610.68,9642.24,111.213,4827.9,3422.82,733.075,1099,396.462,1127.35,314.825,136.762
1252.05,0.10625,-200.706,18.5938,305.681,-216.219,205.062,924.534,1636.68,1044.76,718.888,237.788,586.659,514.463,-181.355,732.786,-773.767,-813.296,885.921,-739.011,-307.307,-707.886,159.36,605.32,-68.64,529.12,529.24,180.52,-88.88,6.72,3.52,473.8,839.92,892.72,829.72,1214.08,691.08,584,11847.1,292.337,6337.8,5221.91,2395.57,975.537,271.95,1264.29,-574.612,191.1
761.706,302.812,-43.6156,-138.338,235.609,184.981,440.353,1511.03,1804.98,796.078,869.125,722.234,384.731,114.963,378.999,477.976,-230.117,1138.03,-30.6062,709.027,-11.4125,971.411,64.64,1145.76,776.92,344.48,210.08,35.4,26.4,-2.12,279.04,412.6,674.32,1142.48,899.08,1864.04,1086.08,900.84,10768.2,422.012,4810.23,3655.93,1780.62,1137.5,272.913,378.175,323.925,449.575
871.941,98.4406,-100.034,-97.4844,273.806,221.053,579.434,926.288,831.459,343.4,593.619,345.95,-4.675,158.047,1296.25,-52.8088,106.344,-851.165,101.986,-32.8887,-12.9688,-196.295,127.6,542.56,739.2,535.48,347,467.24,216.32,225.08,883.44,747.72,561.48,900.4,970.04,1461.4,855.4,885.08,5885.69,1068.81,3460.45,1798.3,1013.42,345.188,892.85,1072.75,-233.45,142.712
276.303,202.566,-312.003,159.375,-107.472,276.409,92.8094,799.584,1213.16,648.338,515.472,371.928,-74.8531,9.9875,353.476,129.376,461.065,-422.159,-513.77,516.675,-147.221,-1273.12,155.16,348.76,157.08,-131.2,2.52,-11.56,371.76,525.68,-5.4,201.08,342.12,526.8,777.28,788.84,969.4,586.84,5870.99,-148.925,4088,2131.85,734.388,313.337,1144.94,822.938,492.45,298.288
-31.1313,-8.075,-230.828,342.391,-14.3969,88.0813,332.509,547.453,568.119,777.909,635.216,82.5563,593.938,-220.628,426.62,235.512,398.193,-168.49,75.115,-715.979,-133.63,29.5687,236.24,255.88,56.64,-11.24,327.8,-0.44,-131.08,-179.48,358.64,441,519,411.08,479.24,631.24,242.68,458.2,5705.7,633.85,2361.54,1410.41,289.362,712.513,842.188,-30.7125,-486.5,-216.387
329.694,17.6375,386.909,-245.969,337.609,81.175,184.716,716.763,1287.27,520.838,582.303,19.7094,-108.269,-177.172,427.242,454.114,-162.369,168.801,-61.42,889.552,-142.137,-241.737,449.72,938.92,-9.44,311.16,-69.72,449.2,134.2,-129.88,345.2,892.32,1072.84,826.44,700.44,1335.04,515.68,673.12,6511.05,-56.6125,2582.3,2413.43,870.45,1073.71,927.412,78.225,53.9875,322.525
165.431,36.4969,125.109,187.266,155.709,549.684,618.163,1015.33,793.953,687.756,351.422,744.175,283.369,89.5688,635.573,-74.9075,-202.416,405.247,27.805,-900.965,-638.27,-341.234,-233.8,622.8,396.4,378.6,0.96,298.92,-403.48,227.32,518.76,663.64,469.76,655.6,618.52,1030.68,368.6,267.64,8754.99,-476.7,5061.7,3414.51,1661.36,543.375,1076.95,1056.56,352.538,673.312
545.913,133.184,70.3906,-106.622,276.356,522.219,529.603,1360.58,1702.82,1547.11,983.822,560.628,648.709,648.072,99.0812,418.424,-960.829,325.671,-522.693,-156.766,-234.579,1155.57,-5.4,298.36,477.32,105.36,-379.6,162.6,542.28,-80.2,453.4,966.4,388.8,678.32,836.64,1513.12,1175.2,115.96,12786.8,346.675,6638.36,4828.07,886.55,1790.6,1148.53,835.362,822.062,490.087
-46.9094,-256.222,280.394,280.819,188.647,409.381,719.206,843.147,1847.32,1505.78,850.372,746.3,210.747,308.444,599.467,410.85,362.503,144.628,-552.573,224.204,-293.197,-316.23,311,646.16,97.28,126.68,197.32,335.12,259.64,-242.64,451.28,558.64,262.64,637.68,860.28,1028.6,700.04,599.84,14093.4,169.925,6499.59,5390,2077.69,2153.02,716.888,1268.92,403.112,-33.95
