"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
180.572,-112.944,-12.75,140.728,138.178,557.866,326.931,745.609,1046.83,604.987,863.706,363.641,242.356,463.941,-460.961,1067.38,-249.519,-207.5,256.677,-137.78,85.3862,-143.279,-111.68,499.72,2.2,-65.36,224.44,298.96,-220.36,-147.68,481.92,436.16,767.08,603.48,442.12,1070,549.96,421.44,14261.2,449.225,12967.4,11363.8,5960.41,4062.71,2787.49,2491.65,625.537,900.55
420.909,382.447,402.422,-109.013,204.319,394.931,763.672,363.163,508.088,180.784,484.075,169.522,393.603,420.431,-125.537,39.1138,337.499,-315.4,-389.685,30.71,803.751,331.481,255.28,744.68,544.24,231.36,428.52,126.76,167.48,-34.4,736,467.64,756.12,1036.12,751.08,1062.8,634.4,703.16,6166.39,-261.012,5242.48,4508.88,2880.06,1268.05,1710.97,1152.29,483.7,786.8
552.925,-74.6406,39.7375,51.7969,476.584,359.019,-336.228,59.8188,907.588,618.163,889.95,212.606,218.769,518.447,230.947,998.075,92.7525,328.991,538.774,67.9562,805.307,88.0837,36.84,569.32,517.4,49.44,126.56,168.36,55.08,-122.32,160.32,548.44,617.08,1314.56,1153,1564.84,1036,484.76,15710.6,325.5,14003.5,11042.8,5592.3,4900.79,2661.4,2922.41,975.888,607.513
517.916,393.975,-0.85,236.459,6.05625,68.425,496.613,686.8,943.181,1431.45,694.078,403.325,46.325,369.75,667.32,579.34,-220.676,327.954,-778.021,209.886,929.496,-176.479,383.44,382.12,279.72,491.96,469.12,-107.76,135.36,-45.8,284.96,482.32,109.36,555.76,442.92,786.72,730.96,659.88,17235,946.925,16376.3,13255.8,6596.89,4500.82,3511.99,3611.21,427.7,442.225
299.997,161.022,-3.71875,-120.116,-285.494,118.628,786.994,1088.11,1023.93,552.978,773.288,674.422,-69.8063,143.544,131.036,516.779,841.309,902.314,287.18,941.842,-323.908,-58.2038,180.68,511.96,30.24,366.68,28.76,44.52,66.44,153.76,509.84,600.52,592.8,771.52,852.6,1113.68,689.48,268.6,14459.3,449.575,13498.2,11772.7,6500.81,3754.01,2356.99,3054.62,1595.56,251.912
382.181,26.775,-325.337,114.166,-284.803,30.8125,117.778,33.15,806.544,784.125,819.772,276.834,177.544,787.153,59.6562,162.784,170.98,-673.753,-218.601,87.8763,-226.59,-730.4,35.4,605.56,219.6,289.68,481.12,315.88,162.36,151.28,251.04,509.72,318.56,599.6,1230.12,1100.28,859.56,589.04,14573.8,717.062,12326.1,11048.4,5541.11,4172.96,3147.99,2746.19,988.225,618.45
-61.2,511.009,-174.356,154.328,-377.453,-115.494,539.431,645.894,150.131,799.053,562.966,264.881,437.378,46.75,-56.44,561.391,324.634,37.8687,-362.295,319.135,154.173,-6.225,93.96,680.28,344.2,-121.44,433.48,283.84,50.76,13.72,374.32,266.2,626.48,653.72,676.4,907,748.36,457.32,5340.82,-596.837,4617.81,3154.02,1595.21,2261.18,1237.51,660.975,136.238,483.962
-144.181,-30.8125,401.944,190.188,519.35,-6.375,547.612,727.547,788.163,738.544,485.456,372.672,416.659,124.366,489.7,443.324,676.346,350.26,-823.671,642.109,254.81,319.654,228.76,1133.2,465.16,378.36,399,-184.68,232.96,-74.8,614.88,291.32,499.84,742.72,492.36,872.2,689.88,732.44,9375.89,491.663,8462.39,6188.79,3507.7,1798.04,2104.72,1217.74,365.487,903.875
394.188,219.725,316.147,55.5688,-6.53438,-245.331,334.688,545.966,879.697,1008.42,654.713,169.522,396.578,303.291,-831.764,13.0725,431.704,-54.6763,935.099,-582.971,-493.642,132.489,325.24,811.56,10.64,111.76,192.36,107.6,-11.68,357.24,264.6,794,995.76,1057.48,800.6,1320,1083.24,887.88,7050.4,-721.087,6198.59,5188.49,2411.24,2051.61,1277.59,935.987,664.65,70.525
399.234,520.253,-56.7906,239.222,-99.7156,206.603,329.163,243.95,460.647,348.659,61.7313,625.069,524.503,-142.003,1008.03,1718.41,1052.34,260.309,-156.144,729.259,299.215,976.08,438.24,638.32,240.84,21.68,-195.6,-491.76,235.04,6.44,400.08,440.08,631.96,426.2,1061.52,840.64,778.96,577.48,7498.49,470.75,7977.64,6519.54,3124.45,1421.96,1344.44,1464.49,607.337,482.125
125.003,-96.05,-47.0156,-464.153,438.653,14.9281,692.219,569.925,648.231,722.234,498.844,340.797,184.822,79.4219,110.182,108.834,70.135,-170.15,603.617,671.47,-280.332,30.3988,34.08,512.48,257.96,-203.64,540.72,-84.88,241.44,82.72,167.48,413.04,651.08,1110.8,777.24,1397.68,954.72,1006.8,7987.7,-63.9625,6579.74,5430.86,4297.65,2673.82,1458.01,535.587,872.025,-14.525
-47.175,-189.391,-166.122,-125.163,7.06563,54.5594,-102.744,108.534,1060.85,747.628,515.259,38.1437,292.931,-301.431,-734.031,353.061,216.423,55.5062,-360.739,197.644,284.068,-1595.26,104.44,503.8,67.8,438.88,-312.44,311.12,-360.2,-83.92,376.96,701.64,-68.44,501.92,716.88,889.64,648.52,566.6,8368.85,347.112,8205.05,6395.29,2742.86,2998.62,1625.66,1192.89,766.587,292.95
446.038,24.5438,311.206,-31.3438,-121.072,-269.078,493.478,474.247,697.584,743.591,849.628,849.681,437.803,395.409,297.659,67.8525,163.614,580.896,308.76,1035.63,-722.204,-210.094,256.6,751.24,404.84,207.48,371.56,77.52,445.12,100.04,411.44,430.96,808.32,1128.16,845.88,1302.12,876.24,774.8,13280.9,-37.275,11974,10424.6,5905.9,4203.41,2796.85,2323.91,941.15,998.025
388.928,-138.338,-389.619,110.5,429.356,378.569,545.434,506.6,1200.57,862.431,631.391,568.756,344.994,15.1938,124.189,1087.61,-550.912,13.695,-223.27,317.579,-450.897,-161.954,339.24,445.12,264.76,514.36,20.6,393.48,-35.8,-127.12,228.88,414.36,468.56,1061.24,1045.32,1662.24,655.04,567.72,12412,-779.8,10135,9435.21,5291.65,2601.99,1739.06,2765.52,1572.38,302.137
-298.456,308.709,-650.25,-200.759,946.05,361.675,274.284,674.316,751.613,973.25,866.681,422.503,105.453,-276.781,-236.861,286.661,-234.06,47.31,103.024,31.8512,448.511,817.239,245.32,351.16,73.44,-130.88,377.36,271.76,70.8,-293.36,453.52,639.24,242,575.2,824,1333.52,650.48,818.88,10568.2,-154,9694.74,8357.39,4867.89,2817.24,1597.22,1963.32,394.45,507.762
174.144,-530.241,-333.306,-262.278,-155.55,-33.2563,70.975,171.062,797.619,457.247,435.784,422.291,357.213,17.1594,169.839,900.446,261.969,265.496,46.48,28.4275,-354.617,621.462,365.56,452.44,251.76,-50.96,314.28,146.28,-400.36,67,62.92,536.36,287.84,619.04,772.68,744.92,841,750.76,10201.9,34.3,10212.7,8615.08,4110.75,2977.19,2234.66,2610.82,721.35,-159.95
583.684,-155.338,398.066,-19.975,496.878,96.6875,409.966,500.013,525.991,436.316,506.334,217.069,560.788,20.6125,65.3625,-1138.03,-503.395,-144.005,-77.2937,908.746,8.81875,-1396.79,234.56,504.48,599.56,124.08,343.28,-65.16,-220.64,-30.24,95.76,273.64,440.76,904.8,679.04,1036.36,1056.36,821.76,7679,479.762,6536.51,5598.69,3340.66,2400.39,1326.15,1197.17,638.837,551.425
428.613,-208.409,-374,246.5,32.4062,323.691,164.528,486.997,750.125,603.022,349.191,275.772,289.638,561.744,-50.9412,-307.723,408.256,925.139,676.242,783.312,-323.181,370.387,249.48,557,444.28,275,-25.68,-67,248.76,121.72,282.2,230.32,557.76,620.72,707.12,497.72,783.4,368.24,13793.7,48.5625,12942.2,10497.5,5935.21,3287.55,2119.51,2223.55,954.275,669.987
-78.0406,-264.138,106.038,144.5,401.838,-348.872,157.303,654.5,748.106,418.147,343.134,215.634,215.369,12.4844,235.512,-66.7113,179.902,656.011,262.073,810.184,-365.615,-186.957,161.04,728.04,363.6,-99.32,581,231.8,-149.68,176.72,559.24,626.56,516.76,1034.72,999.52,1383.88,925.16,843.6,5325.6,394.8,4638.11,3125.32,2776.46,1798.04,1746.67,1699.69,243.6,300.038
68.2656,-359.497,512.231,134.566,338.778,310.834,207.506,786.038,1207.37,768.719,617.525,215.847,225.516,788.694,606.626,-518.128,-597.393,-330.34,396.117,1099.65,-30.1912,362.814,-142.4,614.04,283.28,25.2,-65.64,153.08,-3.76,-291.56,96,848.96,918.4,883.2,966.2,1169.44,583.08,154.44,6616.49,140.613,5833.89,5258.75,3196.64,2617.04,2019.59,1147.3,1045.97,684.862
-18.3813,-245.172,428.4,262.384,162.722,-62.7406,665.338,724.041,1035.99,674.103,813.716,235.875,557.228,357.478,-325.879,43.8862,-341.856,283.86,-177.827,-449.652,-686.099,627.895,-26.32,668.48,344.04,410.96,426.48,-57.28,257.16,85.24,84.6,549.72,674.72,496.48,807.24,1115.2,687.6,507.96,13864.3,-40.425,12558.8,10344.1,5533.59,3923.76,2266.95,2212.26,431.55,1215.46
