"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
408.266,169.15,41.1719,554.678,134.672,202.353,800.062,814.141,-189.444,651.419,760.219,1224,744.228,795.547,32.8887,828.34,748.66,1767.69,186.542,-162.057,932.401,106.24,70,950.64,624.72,400.8,324.52,426.64,282.8,-44.16,-172.24,415.72,245.04,461.72,588.56,715.64,721.12,738.88,895.475,782.075,2593.85,5499.9,8621.64,6172.51,5443.9,5262.34,2552.9,1467.29
372.3,316.2,-136.584,-77.9344,34.6906,-129.997,610.088,527.372,217.866,429.091,0.53125,617.312,235.822,333.572,-802.61,44.5088,537.944,151.164,330.029,153.239,-247.755,-588.159,-10.44,799.68,706.72,233.88,630.6,584.72,123.08,-182.68,268.12,505.28,671.52,414.64,552.64,701.32,481.08,559.16,917.612,1241.19,1814.84,3057.51,3418.27,3304.88,2570.75,3477.77,1683.06,-28.35
862.059,547.294,315.35,188.009,207.134,320.716,567.269,579.116,685.419,1208.43,1462.8,1118.18,718.622,957.366,-549.667,555.581,882.29,-468.846,222.336,-186.75,-1599.31,941.531,139.04,866.04,834.4,331.12,234.24,226.12,400.76,28.32,803.84,432.04,255.44,882.36,903.04,1238.88,566.28,1013.48,-231.875,1440.34,2314.72,5952.62,8075.11,5007.27,5882.45,5183.67,2818.38,1476.74
759.316,876.616,135.575,581.506,262.809,588.625,548.038,481.95,404.388,570.722,265.359,436.688,564.241,641.006,-470.921,1153.29,-458.783,471.232,507.234,1010.11,-235.097,110.286,478.68,542.32,138.08,154.72,183.52,458.52,-102.84,192.36,495.36,624.16,429.08,723.48,1237.88,1391.32,623.84,728.68,748.212,1551.29,958.212,3496.15,4722.11,2483.69,2985.94,3011.49,985.162,148.4
380.428,513.4,-489.175,335.166,-2.7625,-31.9813,313.863,724.731,387.919,-166.281,630.966,346.8,360.188,335.644,959.999,801.054,1153.08,-272.759,-472.477,237.173,907.397,-70.965,363.64,507.68,149.2,43.6,-383.4,358.6,68.76,355.92,826,458.16,751.56,697.96,435.92,914.48,813.72,481.8,-60.1125,266.875,600.862,2374.4,3923.76,3373.74,2480.89,2899.14,419.3,503.562
166.706,386.166,-8.97813,264.403,272.212,-321.034,707.466,369.538,274.391,349.35,622.784,430.95,-295.694,212.978,666.801,399.645,-54.0537,-290.189,-170.98,-95.2425,753.64,-660.472,380.8,619.48,491.92,360.84,205.72,206.12,347.12,126.52,533.92,421.72,477.68,699.72,564.24,669.44,860.2,595.96,-698.513,680.225,1569.49,3654.52,3778.86,3313.97,2829.22,3008.07,1540.79,452.462
359.444,307.966,776.422,270.778,-165.219,172.391,-82.1313,281.031,546.338,102.106,1059.58,852.125,287.141,658.591,-375.575,482.645,-239.974,-23.655,333.141,-276.079,447.059,-284.897,402.48,366.84,397.68,240.56,100.48,427.12,142.96,-224.96,169.76,775.24,768.92,584.32,650.8,664.44,390.48,423.64,-591.325,200.988,1974.09,4092.11,5672.8,4376.92,3656.27,3593.89,1450.4,1230.78
566.047,328.525,165.219,469.413,278.534,357.372,410.497,1270.7,270.087,524.291,979.944,479.4,296.756,250.378,-122.944,353.269,18.26,807.071,82.585,-271.514,386.261,-84.1413,161.4,1019.52,493.92,174.72,-159.8,235.4,94.16,190.04,167,574.44,481.2,745.72,1206.52,1341.64,867.28,616.68,573.65,366.1,1052.01,2538.55,5267.41,3898.82,3713.59,3481.27,1177.49,1407.44
289.797,153.159,469.572,-180.678,277.525,528.753,697.744,154.753,707.731,158.95,442.531,557.919,-109.013,229.288,65.985,233.645,430.666,-126.679,1529.17,202.105,-378.376,-768.476,479.24,285.24,403.24,232.96,-98.96,297.8,16.52,-203.8,360.64,491.32,506.48,578.96,381.16,976.28,458.44,381.6,534.275,812.7,152.6,1829.01,3285.1,2690.54,2496.55,1794.1,901.6,507.5
844.05,454.963,-234.494,43.775,509.734,434.031,854.994,797.938,328.419,271.416,807.288,492.256,761.175,788.747,966.431,184.364,781.86,-554.025,-140.477,-530.37,437.617,285.831,293,815.6,550.48,150.56,307.08,120.64,231.76,-119.24,598.64,721.04,359.68,822.68,837.6,1458.36,1108.68,675.24,334.688,-365.837,1698.38,3585.57,4717.48,3210.29,3392.38,3953.6,1383.64,524.912
