"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
465.747,464.738,156.081,548.303,-358.541,-186.469,347.756,623.156,85.7969,61.9438,364.384,512.125,755.863,403.909,1822.37,2458.56,2283.54,1752.13,1292,938.522,576.643,882.394,46.32,701.8,568.28,338,543.72,482,458.76,199.36,214.64,588.32,590.88,766.2,298.08,800,930.88,525.28,499.975,1320.55,557.462,1574.56,8084.65,6761.3,7021,7859.34,3677.62,2490.43
708.794,359.284,486.731,611.628,9.35,16.4688,609.397,905.197,494.009,808.031,1092.46,641.272,500.756,864.503,2197.94,2693.25,2257.19,2497.05,1233.48,1064.47,1199.56,852.929,272.52,983.24,756.92,675.12,899.6,734.08,-23.88,-186.44,503.88,1023.4,699.28,1152.76,1201.16,1723.32,1258.76,1010.6,1227.28,1483.74,468.212,2539.51,6291.07,6493.2,5442.15,5317.2,3015.07,2362.76
3.77188,164.422,-177.278,133.344,-116.928,412.303,388.609,440.459,458.256,415.331,344.409,703.428,557.281,240.869,868.076,1433.72,2628.3,815.786,1358.09,473.723,809.354,1207.86,-25.92,801.72,690.12,353.08,732.32,404.68,417.44,165.76,264.48,414.84,213.44,536.2,432.96,1010.4,1065.08,506.76,203,987.175,371.7,1185.1,5625.29,4569.07,4671.71,4304.56,2537.41,1790.51
625.175,530.931,417.456,277.472,145.934,213.775,65.2906,1143.3,549.366,558.503,255.85,263.234,436.475,903.019,2734.23,3607.39,2063.28,3129,903.351,745.444,1440.67,533.482,211.12,483.8,834.6,631.48,491.24,779.88,386.2,-0.2,707.96,667.76,500.56,266.12,1078.24,1214.92,700.6,415.32,891.362,1962.62,639.537,2886.19,9194.15,8978.99,7907.11,8416.19,4148.29,2442.3
189.231,560.947,-3.29375,702.472,-38.6219,146.838,531.409,720.481,-41.2781,363.269,485.775,214.359,349.722,-237.416,1662.8,1680.54,1456.44,584.32,1137.93,13.5912,1518.69,260.309,220.48,603.92,338.16,211.04,434.2,387.28,364.04,-0.84,182.4,275.44,327.68,440.32,267.72,762.88,571,408.96,134.4,608.475,911.312,618.362,5115.6,4018,3703.26,3771.25,1881.95,1001.26
336.547,715.275,153.637,305.309,353.494,554.678,772.013,717.772,739.5,659.334,305.841,926.553,959.013,718.038,1900.39,2301.38,1552.52,2041.7,1687.8,1054.41,476.835,215.904,849.4,1360.84,1310.96,559.64,950,547.84,455.72,42.68,1373.64,1339.44,1085.64,1543.6,1411.32,2090.16,1802.16,1330.32,428.837,712.075,624.225,1208.46,5422.38,5610.32,4799.64,4906.56,2601.9,1196.74
110.659,32.4594,-87.8156,273.541,188.434,-351.688,301.272,634.95,44.3594,-585.066,-170.266,487.209,190.453,220.575,881.667,1648.38,1402.08,1603.56,1258.07,517.712,747.415,107.9,232.44,501.92,-207.72,295.8,57,20.52,132.32,105.32,303.6,368.88,451.8,458,608.52,879.72,288.92,311.32,786.013,487.9,49.9625,758.1,4626.91,3221.4,3808,3884.21,1930.86,2078.56
309.453,-187.85,340.956,55.7812,-306.425,37.5063,611.628,-22.3125,399.447,425.584,373.416,551.862,601.322,354.131,2643.03,2472.88,1433.1,1787.3,1436,45.9613,221.61,694.917,410.72,649.56,651.84,72.28,464.44,229.36,294.56,14.28,356.4,75.04,405.96,398.08,446.44,1005.36,725.08,507.84,244.912,716.188,687.575,1619.45,6830.69,5291.21,6430.9,6021.05,3088.57,1620.67
162.137,606.847,-99.7156,255.956,-265.944,-8.02188,520.784,982.228,256.116,136.584,100.672,230.775,277.1,210.322,737.455,2098.34,673.337,1532.8,840.686,653.521,291.538,103.854,232.24,197.56,227.2,307.76,286.44,585.72,255.36,11.76,46.16,112.6,464.36,883.68,444.2,978.44,528.4,265,174.738,415.1,82.5125,816.462,4614.84,3982.04,3321.32,3891.47,2424.36,1008.35
42.3406,315.509,90.8438,-1.59375,-397.216,15.5656,532.047,812.547,207.878,357.797,322.256,143.384,398.863,440.513,1378.94,1744.35,1564.14,867.246,540.849,704.981,269.024,1365.87,125.8,487.36,477.64,34.16,-73.44,29.2,214.4,-161.32,470,501.84,854.08,856.52,419.12,1179.16,796.68,575.72,-104.475,1619.97,1040.55,794.85,4139.36,4642.75,3654.52,4477.29,2528.31,1795.41
183.653,84.8938,-75.5969,336.281,279.066,708.953,262.544,194.119,534.916,389.884,718.303,798.416,482.163,772.172,1363.69,1566.42,1408.3,1996.15,1233.38,1212.63,650.513,884.676,332.16,528.08,818.24,515.16,704.12,-10.4,558.76,284.6,430.08,844.16,690.92,730.88,694.56,1656.84,689.28,674.64,871.412,237.125,1005.38,1218.17,6951.17,5730.81,5715.15,5740,3686.38,2468.11
214.997,402.263,229.128,-194.384,-186.681,275.719,229.553,98.175,270.513,289.159,149.653,270.672,786.622,340.159,1223.73,1963.78,1792.7,2160.91,1024.84,1116.77,-89.1212,372.566,307.96,626.6,655.52,332.68,367.36,-100.8,453.92,11.24,-67.52,451.6,83.72,818.6,501.24,974.52,855.68,634.44,243.775,371.175,452.288,718.55,5476.8,5282.81,5197.76,5286.4,2316.12,1449.61
85.9563,318.325,565.356,203.841,29.6969,324.647,501.659,593.991,480.834,322.256,377.294,481.312,452.359,1084.49,1794.25,2650.5,2399.11,1492.34,1539.44,1367.32,121.387,230.117,11.48,289.56,756.4,355.44,374.44,295.36,643.48,131.08,325.76,300.48,363.16,798.6,692.6,912.08,344.28,408.08,-311.85,1339.97,849.188,1129.28,6299.56,5782.79,5929.17,6000.49,2677.5,1870.84
388.663,360.241,215.422,-463.144,225.356,9.1375,-85.5844,147.156,398.491,121.497,230.138,689.562,445.028,514.091,2310.82,2080.91,1774.54,1536.85,1127.55,714.422,230.221,599.467,134.76,488.36,859.76,290.88,358.4,483.92,-104.56,-26.8,589.16,469.16,530.56,819.68,807.52,921.68,484,607.2,810.075,1115.89,37.1,1008.09,5896.89,5316.85,5123.04,5279.4,2619.75,1503.51
463.516,394.028,569.128,442.478,236.194,447.312,272.744,415.809,871.144,664.328,708.156,278.906,559.831,558.663,2501.1,2799.69,1869.16,1448.56,1852.66,1413.07,1510.29,360.842,255.12,857.76,709.68,464.28,568.16,326,385.04,-8.68,528.16,851.24,591.8,850.28,876.32,1525.88,979.56,709.68,208.075,1747.29,182.087,1828.05,8429.31,7274.57,7460.86,7063.26,4305.7,1747.55
620.075,-60.6156,-161.819,159.428,-98.2281,-337.981,660.769,714.372,1009.48,62.4219,386.591,13.175,687.65,344.144,1188.77,2653.51,847.326,1312.65,1106.49,278.154,40.67,-48.4512,-19.24,564.96,913.08,38.88,277.4,191.68,221.56,165.04,667.24,738.64,569.28,599,854.2,1047.24,728.6,585.76,785.312,810.862,-396.025,1014.83,5244.66,4370.98,4206.12,3447.59,2103.41,1471.66
300.953,40.0563,144.075,34.7969,-368.475,-312.109,450.341,626.078,197.466,324.381,627.566,555.156,776.741,740.669,1763.44,2521.12,2419.14,1358.09,1523.57,288.217,387.921,-161.85,422.92,813.72,559.24,362.96,448.36,272.88,31.96,-94.28,120.72,459.56,587.6,892.72,585.04,1012.84,855.44,572.68,559.3,805.7,465.85,1607.03,6480.42,5694.24,5754.96,5621.61,3551.36,2034.46
170.478,91.9062,98.8656,289,360.772,601.003,285.972,821.525,431.853,542.034,109.013,650.622,475.309,961.722,1953.72,3410.68,2081.85,2909.46,1410.38,236.342,516.052,-282.2,-192.12,668.68,787.36,676.16,976.44,545.44,333.6,186.72,256.4,512.12,459.56,1071.48,1071.28,1188.12,1088.12,605.44,8.3125,1684.81,827.487,2506.18,8620.94,7535.41,6897.01,6860.88,3646.82,2718.36
122.294,283.688,46.2188,435.519,165.059,587.084,777.272,293.144,441.628,209.1,320.078,481.791,135.575,194.438,1003.89,1883.06,385.224,1540.38,-125.745,1770.49,296.932,-317.786,361.2,1005.44,461.84,-13.72,444.84,157.68,254.48,-27.04,647.76,410.4,845.44,982.88,1141,1396.48,781.16,659.84,63.2625,557.9,-636.825,1793.14,4089.22,2649.15,3757.95,3290.26,2157.57,783.475
