"B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A"
1013.78,-180.466,754.747,447.578,122.772,-100.034,286.822,803.356,42.3938,385.209,59.8188,259.197,488.909,587.987,6840.13,13634.9,10598.3,9089.54,7691.3,4324.61,4324.92,2338.94,-188.08,199.36,1345.76,1134.8,1460.24,748.96,773.16,152.2,541.92,327.52,567.32,636.96,680,824.08,687.2,650.76,280.35,-480.025,7.7,241.325,1396.76,1719.81,1362.46,3149.39,1629.34,436.625
470.209,229.553,-290.222,-20.6125,-140.516,138.762,848.088,408.797,324.7,496.453,220.628,121.816,252.503,-122.666,3476.56,5826.81,4827.8,3820.49,2690.55,3144.97,1938.67,969.232,551.76,939.88,876.96,458.24,395.24,846.4,534.32,421.36,377.76,643.52,691.92,1084.24,947.16,1434.16,1575.84,843.68,1163.92,188.3,-38.7625,735.263,1195.86,415.012,991.9,1933.57,-17.15,90.0375
240.869,331.234,-35.8594,-296.172,314.341,-494.434,270.034,581.188,181.209,367.359,116.822,105.081,53.975,-73.1531,5382.76,9757.17,8833.59,6927.59,6006.71,4250.74,3458.92,1485.39,35.36,370.4,744.88,1152.48,1058.68,976.88,404.24,252.24,160.08,169.08,528.24,548.52,876.36,1053.12,792.48,629.96,135.887,-113.838,42.4375,-256.725,1049.21,1173.38,1450.22,1339.36,414.75,867.475
-111.509,257.444,-296.544,301.697,18.9656,28.7938,543.628,240.55,490.503,-166.388,55.3031,-304.406,184.875,100.672,4123.44,7324.96,7234.18,5660.81,5445.32,2747.3,3268.02,1539.96,347.32,765.32,938.04,1091.28,828,487.76,424.12,240.88,658.84,417.48,348.52,888.04,1065.88,1114.16,1149.96,542.96,364.175,640.938,618.45,-86.975,1011.67,1884.75,1623.04,504.175,238.875,1090.34
410.922,139.294,-270.406,77.9875,30.4406,-208.144,197.147,394.028,650.038,803.516,146.147,-320.344,273.7,66.8313,7233.55,12337.1,11320.3,8925.72,7035.49,4920.86,3664.45,2594.68,159.96,307.64,1055.08,1138.44,1258.72,1245.56,940.44,218.36,179.24,678.48,562.96,586.6,541.4,1022.28,576.48,351.88,570.763,263.637,231.875,-642.337,1542.97,2316.3,1888.42,2137.1,1033.29,356.65
-220.841,88.4531,291.816,120.328,139.134,329.375,294.897,655.031,631.656,423.566,-2.07188,-173.134,-163.572,-5.04688,5890.41,10308.5,8867.3,7341.76,5825.98,4683.59,3588.5,1936.8,435.84,160.52,848.36,1084.68,1142.04,1285.72,611.08,87.28,83.84,580.24,621.96,637.2,446.64,1317.84,883.68,575.88,75.3375,392.788,-186.2,745.062,1466.5,1989.75,1431.06,1155.44,1439.64,367.413
725.263,-353.653,238.372,-435.678,159.588,137.009,265.678,626.663,593.034,437.644,669.906,276.303,202.831,8.39375,3985.35,8180.48,7460.14,5361.18,3993.96,3204.84,2301.28,840.375,85.16,632.88,1275.2,796.8,803.64,975.76,566,429.48,288.92,909.76,181.4,713.36,727.64,1205.6,277.12,838.6,100.625,487.725,-215.512,121.537,1163.92,1979.16,1838.81,1559.69,668.237,256.812
114.378,-14.3969,19.4969,-405.078,-427.125,531.941,-42.1281,221.425,613.487,348.022,-40.3219,180.094,79.7406,464.525,6386.85,12567.9,11996.4,8937.23,7189.98,5580.19,4114.62,1961.5,-173.28,169.8,1289.36,977.28,1390.2,1233.92,763.28,522.44,309.56,192.96,328.08,509.12,796.08,606.84,290.36,458.28,262.15,658.962,1100.92,905.537,2137.89,2206.57,1916.95,1675.28,623.35,-308.438
79.05,145.934,281.191,114.75,419.209,-132.866,508.034,407.044,388.663,448.375,-145.137,-172.497,370.228,-39.3656,6761.91,11633.2,10256.5,7500.5,6662.41,4052.79,3860.12,1458,-114.44,504.64,1207.72,1082.08,1044.68,425.24,488.12,292.92,17.04,471.36,232.36,641.64,1102.32,697.8,688,349.08,-518.875,92.225,491.75,242.637,2237.38,2064.04,2198.79,2395.14,1649.29,717.938
263.712,-56.525,239.7,-253.194,202.406,-134.034,817.275,153.053,552.872,228.384,203.681,428.241,403.909,459.744,5551.56,9688.69,8185.15,6180.49,4871.17,3730.33,3896.75,1637.8,-199.84,809.12,1281.2,1250.08,1241.44,649.04,329.12,76.76,925.92,632.32,566.12,914.52,894.72,1386,997.16,676.48,523.075,454.212,439.425,10.85,1426.07,1908.9,1559.51,1509.72,607.862,-545.3
